,title,latestcomp,gbindex
119,Memoirs of Marguerite de Valois,1615,3841
120,Memoirs of Marguerite de Valois,1615,3841
123,The works of Aphra Behn,1689,29854
124,Manon Lescaut,1731,468
125,Strange stories from a Chinese studio,1740,43628
126,Memoirs of Emma Courtney,1802,41256
128,"A cup of sweets that can never cloy : or, Delightful tales for good children",1814,42024
129,Persuasion,1817,36777
130,The shepherd of Salisbury Plain,1825,31697
131,Christmas stories,1827,35397
132,The wine-ghosts of Bremen;,1827,32064
134,The princess and Curdie,1832,36612
137,Oliver Twist,1839,56586
138,The Tower of London,1840,49850
140,Modern flirtations,1841,43358
141,Cousin Lucy's conversations,1841,50793
142,Arthur O'Leary,1844,32424
145,St. Patrick's eve,1845,32083
150,The household of Sir Thomas More,1852,45187
152,Rachel Gray,1856,36160
153,Vassall Morton,1856,39768
154,Nuts and nutcrackers,1857,35500
156,Little Frankie and his mother,1860,34830
157,"The colloquies of Edward Osborne, citizen and clothworker, of London",1860,51557
158,Rutledge,1860,40385
160,Rachel Ray,1862,34000
161,"The struggles of Brown, Jones, and Robinson",1862,27533
162,The duchess of Trajetto,1863,42296
163,Barrington,1863,34883
164,Frank before Vicksburg,1864,42099
165,Chronicles of the Scho?nberg-Cotta family,1864,36433
166,Tales from the operas,1864,57605
167,Ravenshoe,1864,41636
168,Little masterpieces,1864,39716
169,Tony Butler,1865,33604
170,Luttrell of Arran,1865,35717
171,Brave Old Salt;,1866,37907
173,Bulfinch's mythology,1867,56644
174,The Bramleighs of Bishop's Folly,1868,32561
175,Wenderholme,1869,40874
176,Lion Ben of Elm Island,1869,50993
178,The Vee-Boers,1870,34667
180,Mugby Junction,1870,27924
181,A Christmas carol,1870,30368
182,Marguerite de Valois,1870,33609
184,Vagabond adventures,1870,58982
185,The Prussian terror,1870,36016
187,Ekkehard,1872,35847
188,Ekkehard,1872,35846
189,The Romance of a Mummy and Egypt,1872,27724
190,Sir Jasper Carew,1872,33081
191,Jack Hinton,1872,33082
192,"The progressionists, and Angela",1873,33573
194,A princess of Thule,1873,49786
195,Holden with the cords,1874,56980
196,Waldfried,1874,32446
197,My opinions and Betsey Bobbet's,1875,55594
198,Baron Bruno;,1875,39274
199,Jessamine,1876,36414
