chunkid	passagefails	worderrors	gbindex	error	cleanerror	diverge_from_clean
36958_0	0.02087	0.025	36958	3.3895053481725057e-06	0.0007586682274902945	-0.000755278722142122
36958_1	0.02158	0.02177	36958	5.237897117149615e-07	0.0007586682274902945	-0.0007581444377785795
36958_2	0.02039	0.02114	36958	5.5900570853251175e-05	0.0007586682274902945	-0.0007027676566370433
36958_3	0.02637	0.02103	36958	0.0002825321243979939	0.0007586682274902945	-0.0004761361030923006
49154_0	0.16478	0.01539	49154	4.653711643820557e-06	1.994395461182852e-06	2.6593161826377054e-06
49154_1	0.02238	0.01106	49154	0.00014678046184624094	1.994395461182852e-06	0.0001447860663850581
49154_2	0.03654	0.02097	49154	6.376933869844947e-09	1.994395461182852e-06	-1.988018527313007e-06
49154_3	0.02423	0.01283	49154	0.0035247156892701526	1.994395461182852e-06	0.0035227212938089697
49154_4	0.0226	0.01569	49154	1.728432952319281e-10	1.994395461182852e-06	-1.99422261788762e-06
49154_5	0.02523	0.01786	49154	0.21818954751968	1.994395461182852e-06	0.21818755312421884
49154_6	0.02266	0.01977	49154	6.30400042562762e-05	1.994395461182852e-06	6.104560879509335e-05
49154_7	0.04317	0.01575	49154	4.406075504448381e-11	1.994395461182852e-06	-1.9943514004278073e-06
49154_8	0.44784	0.05282	49154	0.019333154620979398	1.994395461182852e-06	0.019331160225518215
38020_0	0.03101	0.02152				
38020_1	0.00736	0.02512				
38020_2	0.01171	0.01317				
38020_3	0.01127	0.01962				
38020_4	0.01379	0.0167				
RereJMHbio_0	0.03959	0.03579				
RereJMHbio_1	0.03439	0.04011				
RereJMHbio_2	0.02572	0.03723				
RereJMHbio_3	0.02987	0.03244				
RereJMHbio_4	0.02598	0.03698				
RereJMHbio_5	0.35718	0.09868				
37878_0	0.02852	0.02292				
37878_1	0.03273	0.02121				
37878_2	0.02267	0.02751				
37878_3	0.08487	0.02978				
RadcASR2fic_0	0.02891	0.04834	RadcASR2fic	0.0017570044219895609	0.19150596143513132	-0.18974895701314176
RadcASR2fic_1	0.02639	0.04414	RadcASR2fic	0.4036160217251754	0.19150596143513132	0.2121100602900441
37688_0	0.01899	0.02136	37688	0.009364432895424324	0.1626792490023499	-0.15331481610692557
37688_1	0.00337	0.01721	37688	0.44293507422727163	0.1626792490023499	0.28025582522492176
37688_2	0.00457	0.01632	37688	0.0006532189722250337	0.1626792490023499	-0.16202603003012486
37688_3	0.20163	0.03609	37688	0.9716424093792677	0.1626792490023499	0.8089631603769178
38236_0	0.11646	0.02273				
38236_1	0.04017	0.01206				
38236_2	0.04238	0.0129				
38236_3	0.03517	0.0127				
38236_4	0.08585	0.02172				
HawkJLSbio_0	0.02894	0.05124				
HawkJLSbio_1	0.019	0.04662				
HawkJLSbio_10	0.01757	0.0462				
HawkJLSbio_11	0.01953	0.03822				
HawkJLSbio_12	0.31278	0.0857				
HawkJLSbio_2	0.02132	0.04926				
HawkJLSbio_3	0.02399	0.05022				
HawkJLSbio_4	0.01876	0.04467				
HawkJLSbio_5	0.0176	0.04688				
HawkJLSbio_6	0.02622	0.04634				
HawkJLSbio_7	0.02029	0.05063				
HawkJLSbio_8	0.02078	0.04182				
HawkJLSbio_9	0.01707	0.04244				
38418_0	0.07483	0.0233	38418	0.004439073073889355	0.6745662977842601	-0.6701272247103708
38418_1	0.01027	0.01632	38418	0.30053204677107925	0.6745662977842601	-0.3740342510131809
38418_10	0.02493	0.01567	38418	0.16487001808954493	0.6745662977842601	-0.5096962796947152
38418_11	0.04206	0.01625	38418	0.3003197883577271	0.6745662977842601	-0.37424650942653304
38418_12	0.02103	0.01672	38418	0.12276673005617644	0.6745662977842601	-0.5517995677280837
38418_13	0.01908	0.01479	38418	0.4502876739680962	0.6745662977842601	-0.22427862381616392
38418_14	0.02369	0.01361	38418	0.14296776772644426	0.6745662977842601	-0.5315985300578159
38418_15	0.46251	0.10578	38418	0.9999774655092494	0.6745662977842601	0.32541116772498924
38418_2	0.02517	0.01364	38418	0.9999980525423622	0.6745662977842601	0.32543175475810204
38418_3	0.02787	0.01393	38418	0.9476372335594735	0.6745662977842601	0.27307093577521335
38418_4	0.02616	0.01631	38418	0.00746677671447904	0.6745662977842601	-0.6670995210697811
38418_5	0.01565	0.0146	38418	0.9962243619302696	0.6745662977842601	0.3216580641460095
38418_6	0.03301	0.0152	38418	0.034543722116119446	0.6745662977842601	-0.6400225756681407
38418_7	0.04298	0.01741	38418	0.01818644607930242	0.6745662977842601	-0.6563798517049577
38418_8	0.06747	0.0156	38418	0.9997291735548318	0.6745662977842601	0.3251628757705717
38418_9	0.05241	0.01426	38418	0.9550512337665025	0.6745662977842601	0.28048493598224233
39712_0	0.2381	0.03085				
39712_1	0.02408	0.00642				
39712_2	0.02853	0.00835				
39712_3	0.0178	0.01219				
37059_0	0.11151	0.02034				
37059_1	0.07549	0.01635				
37059_2	0.09087	0.01967				
37059_3	0.0762	0.0173				
37059_4	0.11545	0.02324				
37059_5	0.07234	0.01886				
37059_6	0.47589	0.03636				
55347_0	0.02927	0.02534	55347	0.05367723514394307	0.48613224094755514	-0.43245500580361207
55347_1	0.00308	0.02211	55347	0.7946611192172449	0.48613224094755514	0.3085288782696898
55347_2	0.00538	0.01785	55347	0.011198292642934149	0.48613224094755514	-0.474933948304621
55347_3	0.0018	0.02158	55347	0.23197615761773993	0.48613224094755514	-0.2541560833298152
55347_4	0.0018	0.02428	55347	0.01992780473236644	0.48613224094755514	-0.4662044362151887
55347_5	0.71847	0.06782	55347	0.861697035954595	0.48613224094755514	0.3755647950070399
44262_0	0.04596	0.02006	44262	0.0036059862807630294	0.19541465284327633	-0.1918086665625133
44262_1	0.02876	0.01464	44262	0.1433572943540009	0.19541465284327633	-0.052057358489275424
44262_2	0.02703	0.01331	44262	0.3986643762410014	0.19541465284327633	0.20324972339772504
44262_3	0.03441	0.01287	44262	0.009699155986953811	0.19541465284327633	-0.18571549685632252
44262_4	0.03834	0.01465	44262	0.7785424970485681	0.19541465284327633	0.5831278442052918
44262_5	0.02998	0.01676	44262	0.004333862349356066	0.19541465284327633	-0.19108079049392027
44262_6	0.03319	0.01561	44262	5.84240665912894e-06	0.19541465284327633	-0.1954088104366172
44262_7	0.0322	0.01305	44262	4.2779473786835887e-05	0.19541465284327633	-0.1953718733694895
44262_8	0.19956	0.03626	44262	0.004314550797043126	0.19541465284327633	-0.1911001020462332
40010_0	0.01644	0.01906				
40010_1	0.00539	0.01484				
40010_2	0.00257	0.01389				
