chunkid	passagefails	worderrors	gbindex	error	cleanerror	diverge_from_clean
40010_3	0.00848	0.0174				
40010_4	0.00591	0.02311				
40010_5	0.00643	0.01458				
40010_6	0.78494	0.1437				
27712_0	0.03136	0.01637	27712	0.35848447897649827	0.003545250584876669	0.3549392283916216
27712_1	0.00858	0.00976	27712	0.0002073782524542045	0.003545250584876669	-0.0033378723324224645
27712_2	0.10614	0.03576	27712	0.7631538244152185	0.003545250584876669	0.7596085738303419
27712_3	0.14148	0.04444	27712	0.06577555535341395	0.003545250584876669	0.06223030476853728
27712_4	0.13608	0.04336	27712	0.0026317983253297816	0.003545250584876669	-0.0009134522595468874
27712_5	0.13655	0.03861	27712	0.0019275059909587	0.003545250584876669	-0.001617744593917969
53905_0	0.18758	0.01557	53905	0.0005141695494502718	0.006140020647226052	-0.00562585109777578
53905_1	0.03529	0.00702	53905	0.00179118793332822	0.006140020647226052	-0.004348832713897832
53905_2	0.03399	0.00682	53905	0.021696895614683687	0.006140020647226052	0.015556874967457635
53905_3	0.03553	0.00884	53905	0.05963830246837598	0.006140020647226052	0.05349828182114993
53905_4	0.02914	0.00538	53905	0.006939397659737723	0.006140020647226052	0.0007993770125116709
53905_5	0.17643	0.02065	53905	0.047329264333806464	0.006140020647226052	0.04118924368658041
33564_0	0.08708	0.0267	33564	0.008912664343430965	0.7612163975659147	-0.7523037332224838
33564_1	0.10332	0.03378	33564	0.005378417089380139	0.7612163975659147	-0.7558379804765346
37925_0	0.01526	0.02125				
37925_1	0.00712	0.01769				
37925_2	0.03685	0.02114				
52603_0	0.13571	0.02379				
52603_1	0.04876	0.0198				
52603_2	0.04413	0.01859				
52603_3	0.04877	0.02244				
52603_4	0.08052	0.02358				
52603_5	0.03947	0.02127				
52603_6	0.04206	0.02202				
52603_7	0.03148	0.01876				
52603_8	0.03716	0.02096				
32083_0	0.02247	0.01555				
32083_1	0.00438	0.01126				
32083_2	0.00848	0.01191				
6098_0	0.0561	0.17362				
6098_1	0.03507	0.16104				
6098_10	0.03235	0.15599				
6098_11	0.04092	0.15614				
6098_12	0.02729	0.14877				
6098_13	0.02957	0.16119				
6098_14	0.03709	0.15312				
6098_2	0.02932	0.17063				
6098_3	0.0377	0.16124				
6098_4	0.02375	0.16367				
6098_5	0.03862	0.159				
6098_6	0.0283	0.167				
6098_7	0.03083	0.16511				
6098_8	0.02856	0.1676				
6098_9	0.03966	0.15657				
36965_0	0.08389	0.02358	36965	1.296978409115468e-07	0.004917802740157562	-0.00491767304231665
36965_1	0.02241	0.02279	36965	0.660762332398857	0.004917802740157562	0.6558445296586994
36965_2	0.02527	0.0201	36965	0.020715416138407328	0.004917802740157562	0.015797613398249765
36965_3	0.02174	0.01922	36965	0.026009292102663006	0.004917802740157562	0.021091489362505444
36965_4	0.14603	0.02621	36965	0.00036994140220869554	0.004917802740157562	-0.004547861337948866
41286_0	0.02178	0.02819	41286	0.042207216547156534	0.3129338637534147	-0.27072664720625816
41286_1	0.00742	0.02309	41286	0.005593668984222311	0.3129338637534147	-0.3073401947691924
41286_2	0.01029	0.02422	41286	0.14604040300539478	0.3129338637534147	-0.16689346074801992
41286_3	0.01149	0.02418	41286	0.005829646066963234	0.3129338637534147	-0.30710421768645146
41286_4	0.01028	0.02093	41286	0.40150356895561956	0.3129338637534147	0.08856970520220486
41286_5	0.0079	0.0216	41286	0.00010215941364322134	0.3129338637534147	-0.3128317043397715
41286_6	0.03687	0.02524	41286	0.009696570487717882	0.3129338637534147	-0.3032372932656968
33604_0	0.01641	0.02186	33604	0.004687116716132977	0.0832994361649476	-0.07861231944881462
33604_1	0.00626	0.02198	33604	0.027191772720136842	0.0832994361649476	-0.05610766344481076
33604_10	0.00886	0.01975	33604	2.5166495906336905e-05	0.0832994361649476	-0.08327426966904126
33604_11	0.02082	0.02554	33604	0.010083387295959811	0.0832994361649476	-0.07321604886898779
33604_12	0.0086	0.01844	33604	1.5743524998002023e-05	0.0832994361649476	-0.0832836926399496
33604_13	0.17226	0.09317	33604	0.02060215307750768	0.0832994361649476	-0.06269728308743992
33604_2	0.00886	0.02035	33604	1.3355027428607613e-05	0.0832994361649476	-0.083286081137519
33604_3	0.01146	0.01827	33604	1.3693580871998456e-05	0.0832994361649476	-0.0832857425840756
33604_4	0.00912	0.01915	33604	0.004932938280153065	0.0832994361649476	-0.07836649788479454
33604_5	0.00651	0.01951	33604	0.039789023951190994	0.0832994361649476	-0.04351041221375661
33604_6	0.0125	0.01992	33604	0.020008302000949163	0.0832994361649476	-0.06329113416399844
33604_7	0.01249	0.02069	33604	1.0049526025790456e-06	0.0832994361649476	-0.08329843121234502
33604_8	0.00938	0.01995	33604	0.002050716070437164	0.0832994361649476	-0.08124872009451044
33604_9	0.00861	0.02718	33604	0.0026402238132016143	0.0832994361649476	-0.08065921235174599
36754_0	0.01675	0.03197	36754	0.015556204750071356	0.465398037925325	-0.44984183317525367
36754_1	0.03631	0.03519	36754	0.9863711245573851	0.465398037925325	0.5209730866320601
7025_0	0.75435	0.15523	7025	1.1493941446394373e-06	0.004670993487979724	-0.004669844093835085
7025_1	0.01107	0.01548	7025	7.1695785778258525e-06	0.004670993487979724	-0.0046638239094018985
7025_10	0.0117	0.01442	7025	1.0435585817702986e-07	0.004670993487979724	-0.004670889132121547
7025_11	0.0127	0.01462	7025	0.0013885746758186546	0.004670993487979724	-0.00328241881216107
7025_12	0.01644	0.01619	7025	0.0032331186035047255	0.004670993487979724	-0.001437874884474999
7025_13	0.46761	0.07694	7025	0.0445796991146008	0.004670993487979724	0.03990870562662108
7025_2	0.01793	0.01971	7025	6.185600631702926e-08	0.004670993487979724	-0.004670931631973407
7025_3	0.01719	0.02041	7025	0.000432932892040494	0.004670993487979724	-0.00423806059593923
7025_4	0.01644	0.02075	7025	0.0007224728532078117	0.004670993487979724	-0.003948520634771913
7025_5	0.01345	0.01719	7025	0.013331966214061186	0.004670993487979724	0.008660972726081462
7025_6	0.01768	0.0185	7025	0.00574924120734599	0.004670993487979724	0.0010782477193662654
7025_7	0.01669	0.01814	7025	0.005174555651727419	0.004670993487979724	0.000503562163747695
7025_8	0.01643	0.01539	7025	4.38768154521485e-05	0.004670993487979724	-0.004627116672527576
7025_9	0.01445	0.01518	7025	3.075224390691744e-07	0.004670993487979724	-0.004670685965540655
BurnFCOfic_0	0.05956	0.1794	BurnFCOfic	0.002119763466793878	0.43602713250539193	-0.43390736903859806
BurnFCOfic_1	0.03627	0.17208	BurnFCOfic	0.25081804378930883	0.43602713250539193	-0.1852090887160831
BurnFCOfic_2	0.0449	0.18143	BurnFCOfic	0.9839180826426592	0.43602713250539193	0.5478909501372673
BurnFCOfic_3	0.05776	0.17616	BurnFCOfic	0.24647285945492936	0.43602713250539193	-0.18955427305046257
58310_0	0.09612	0.0195	58310	0.9999994925587513	0.9943785233821347	0.005620969176616586
58310_1	0.0413	0.01149	58310	0.9999988706899631	0.9943785233821347	0.005620347307828344
58310_2	0.04428	0.01198	58310	0.9999916245148978	0.9943785233821347	0.005613101132763032
58310_3	0.04485	0.01302	58310	0.9999990904639681	0.9943785233821347	0.005620567081833339
58310_4	0.05865	0.01431	58310	0.9999999109397567	0.9943785233821347	0.005621387557621982
58310_5	0.04092	0.0121	58310	0.9555438258612644	0.9943785233821347	-0.03883469752087032
58310_6	0.04755	0.01227	58310	0.9999990484906932	0.9943785233821347	0.005620525108558483
58310_7	0.04918	0.00854	58310	0.9999145278940363	0.9943785233821347	0.0055360045119016155
58310_8	0.34874	0.03395	58310	0.9999982153783485	0.9943785233821347	0.005619691996213816
40205_0	0.07429	0.04209				
40205_1	0.05222	0.03815				
40205_2	0.0478	0.04448				
40205_3	0.0556	0.03104				
40205_4	0.0478	0.03302				
51644_0	0.01835	0.01607	51644	2.19757698227685e-06	0.0020023698167016915	-0.0020001722397194146
51644_1	0.01943	0.01591	51644	2.1981879594346054e-07	0.0020023698167016915	-0.002002149997905748
51644_2	0.02607	0.01454	51644	6.3160104594173205e-06	0.0020023698167016915	-0.001996053806242274
51644_3	0.56296	0.17503	51644	0.30592391200588787	0.0020023698167016915	0.30392154218918616
55378_0	0.00832	0.01733	55378	0.12484782726643306	0.22893261284411234	-0.10408478557767928
55378_1	0.00454	0.01239	55378	0.07762157285051074	0.22893261284411234	-0.1513110399936016
55378_2	0.01083	0.0147	55378	0.003166786172070224	0.22893261284411234	-0.22576582667204212
55378_3	0.00806	0.01942	55378	0.11209088723152671	0.22893261284411234	-0.11684172561258563
55378_4	0.48601	0.1836	55378	0.8908929091700949	0.22893261284411234	0.6619602963259825
56665_0	0.14218	0.02286	56665	0.16399216535275385	0.04196591983257788	0.12202624552017596
56665_1	0.00473	0.0109	56665	0.17128910601740854	0.04196591983257788	0.12932318618483066
56665_2	0.00896	0.01545	56665	0.011186137848978261	0.04196591983257788	-0.030779781983599618
56665_3	0.00897	0.01033	56665	0.9940555997196499	0.04196591983257788	0.9520896798870719
56665_4	0.00623	0.01133	56665	0.7753026086432574	0.04196591983257788	0.7333366888106795
56665_5	0.00872	0.01284	56665	1.1948811698636597e-05	0.04196591983257788	-0.04195397102087924
56665_6	0.00896	0.01278	56665	0.003548764122744852	0.04196591983257788	-0.03841715570983303
56665_7	0.00747	0.01215	56665	0.010439940216406707	0.04196591983257788	-0.03152597961617117
56665_8	0.03785	0.01821	56665	0.028101901827129794	0.04196591983257788	-0.013864018005448085
45619_0	0.0723	0.01683	45619	0.9999785863686106	0.8267884085535975	0.1731901778150131
45619_1	0.00434	0.00951	45619	0.9999999068429943	0.8267884085535975	0.17321149828939686
45619_2	0.00307	0.01262	45619	0.9999999136200431	0.8267884085535975	0.17321150506644567
45619_3	0.00665	0.01147	45619	0.9999700451632658	0.8267884085535975	0.17318163660966834
45619_4	0.0069	0.01159	45619	0.999999003794155	0.8267884085535975	0.17321059524055749
45619_5	0.00537	0.01038	45619	0.9999999905136306	0.8267884085535975	0.17321158196003317
45619_6	0.00792	0.01012	45619	0.16107109039201561	0.8267884085535975	-0.6657173181615819
32446_0	0.04025	0.01612				
32446_1	0.01833	0.01252				
32446_2	0.01929	0.01355				
32446_3	0.02701	0.01212				
32446_4	0.01953	0.01396				
32446_5	0.02484	0.01314				
32446_6	0.0217	0.01511				
32446_7	0.02289	0.0113				
32446_8	0.02411	0.01197				
32446_9	0.02438	0.01454				
49786_0	0.05627	0.01743	49786	0.00023561921696835242	0.33585562532351465	-0.3356200061065463
49786_1	0.0116	0.01374	49786	0.00026616983754612633	0.33585562532351465	-0.3355894554859685
49786_10	0.00958	0.0114	49786	0.00018282143127335004	0.33585562532351465	-0.3356728038922413
49786_11	0.00403	0.01168	49786	0.03394833094716787	0.33585562532351465	-0.3019072943763468
49786_12	0.01265	0.01081	49786	0.0015995654984172214	0.33585562532351465	-0.33425605982509743
49786_2	0.00883	0.01416	49786	0.5715870859371714	0.33585562532351465	0.2357314606136568
49786_3	0.0053	0.01158	49786	0.00803716075362737	0.33585562532351465	-0.3278184645698873
49786_4	0.00933	0.0111	49786	0.19737099555360305	0.33585562532351465	-0.1384846297699116
49786_5	0.01917	0.014	49786	0.8816944695947737	0.33585562532351465	0.5458388442712591
49786_6	0.01085	0.01048	49786	0.9561254110382942	0.33585562532351465	0.6202697857147795
49786_7	0.00858	0.01353	49786	0.28991395349286486	0.33585562532351465	-0.04594167183064979
49786_8	0.00681	0.01514	49786	0.5101626095025027	0.33585562532351465	0.17430698417898804
49786_9	0.00227	0.0108	49786	0.00434427312905894	0.33585562532351465	-0.3315113521944557
39274_0	0.0229	0.01529	39274	0.018186207080697958	0.27625620274191653	-0.2580699956612186
39274_1	0.01663	0.01144	39274	0.046214136849550225	0.27625620274191653	-0.2300420658923663
39274_2	0.01543	0.01121	39274	0.29313290297192784	0.27625620274191653	0.01687670023001131
39274_3	0.02435	0.01788	39274	0.9959706382312051	0.27625620274191653	0.7197144354892886
35300_0	0.0185	0.01968	35300	0.24893782529521746	0.3109561692272629	-0.06201834393204542
35300_1	0.29856	0.03679	35300	0.0007489940439932008	0.3109561692272629	-0.3102071751832697
27923_0	0.04491	0.01756	27923	1.0751734835778848e-08	2.819065708647983e-08	-1.7438922250700983e-08
27923_1	0.03899	0.01177	27923	1.4436369355497192e-07	2.819065708647983e-08	1.1617303646849209e-07
27923_2	0.02886	0.01214	27923	7.522757627942411e-08	2.819065708647983e-08	4.703691919294428e-08
27923_3	0.02222	0.01284	27923	1.4833423933602319e-08	2.819065708647983e-08	-1.3357233152877512e-08
41324_0	0.13711	0.02294	41324	0.9972722407509244	0.8921056979800838	0.10516654277084059
41324_1	0.04971	0.01865	41324	0.24271499289969267	0.8921056979800838	-0.6493907050803911
41324_2	0.12823	0.02646	41324	0.09669533312601963	0.8921056979800838	-0.7954103648540641
48843_0	0.05419	0.01041	48843	0.0009849167029861716	0.05827098862889609	-0.05728607192590992
48843_1	0.02389	0.00887	48843	0.983830001121458	0.05827098862889609	0.9255590124925619
48843_2	0.01971	0.00511	48843	0.9909589160188584	0.05827098862889609	0.9326879273899623
48843_3	0.0202	0.00493	48843	0.8148935921616284	0.05827098862889609	0.7566226035327323
48843_4	0.01798	0.00513	48843	0.04659233265988705	0.05827098862889609	-0.011678655969009043
48843_5	0.01774	0.00686	48843	0.953856118716529	0.05827098862889609	0.8955851300876329
48843_6	0.01675	0.00672	48843	0.6310907033901958	0.05827098862889609	0.5728197147612997
48843_7	0.01429	0.00581	48843	0.9883879970424342	0.05827098862889609	0.9301170084135381
48843_8	0.09064	0.01059	48843	0.9997709777433365	0.05827098862889609	0.9414999891144403
33573_0	0.0104	0.04478				
33573_1	0.00434	0.03197				
33573_2	0.00387	0.04037				
33573_3	0.00459	0.03738				
33573_4	0.01062	0.03015				
33573_5	0.00604	0.03722				
33573_6	0.00507	0.03267				
33573_7	0.01232	0.0373				
6312_0	0.02284	0.02363	6312	0.36753315086064475	0.012460794888645266	0.3550723559719995
6312_1	0.01586	0.02698	6312	0.00014796090669177975	0.012460794888645266	-0.012312833981953486
6312_2	0.01795	0.021	6312	0.00034223138298972167	0.012460794888645266	-0.012118563505655544
6312_3	0.05689	0.02853	6312	0.0038922896829287623	0.012460794888645266	-0.008568505205716503
2160_0	0.09507	0.16527				
2160_1	0.02351	0.15872				
2160_10	0.02602	0.17092				
2160_2	0.03059	0.16516				
2160_3	0.02532	0.16343				
2160_4	0.03162	0.16157				
2160_5	0.03084	0.16578				
2160_6	0.01944	0.17228				
2160_7	0.01591	0.16334				
2160_8	0.0225	0.16893				
2160_9	0.02398	0.16906				
RadcASRfic_0	0.02292	0.09015	RadcASRfic	4.744111103960336e-09	0.2602967373128802	-0.2602967325687691
RadcASRfic_1	0.0242	0.04744	RadcASRfic	2.2108277831778267e-06	0.2602967373128802	-0.26029452648509704
RadcASRfic_2	0.02338	0.04872	RadcASRfic	0.756001101811286	0.2602967373128802	0.49570436449840577
31210_0	0.17853	0.03302				
31210_1	0.00836	0.01838				
31210_10	0.90909	0.01198				
31210_11	0.85116	0.01869				
31210_12	0.73987	0.03463				
31210_2	0.00763	0.02132				
31210_3	0.00985	0.02105				
31210_4	0.00788	0.02011				
31210_5	0.01009	0.01662				
31210_6	0.4949	0.03262				
31210_7	0.71831	0.02748				
31210_8	0.78101	0.0406				
31210_9	0.75955	0.04078				
55594_0	0.24804	0.03587	55594	0.1446556507990674	0.13029385461993584	0.014361796179131553
55594_1	0.0327	0.01821	55594	0.11314783847996779	0.13029385461993584	-0.01714601613996805
55594_2	0.0372	0.02133	55594	0.2835748872765731	0.13029385461993584	0.15328103265663726
55594_3	0.04028	0.02111	55594	0.5274458500565472	0.13029385461993584	0.3971519954366114
55594_4	0.03	0.01875	55594	7.079747794458413e-06	0.13029385461993584	-0.13028677487214138
55594_5	0.02435	0.01689	55594	0.002001331874410206	0.13029385461993584	-0.12829252274552563
55594_6	0.03455	0.01911	55594	0.14039449929317205	0.13029385461993584	0.010100644673236209
55594_7	0.11783	0.02437	55594	0.14500262625089355	0.13029385461993584	0.014708771630957712
49630_0	0.02321	0.0122				
49630_1	0.00674	0.00744				
49630_2	0.00748	0.00915				
49630_3	0.00424	0.00777				
49630_4	0.00848	0.0065				
49630_5	0.01371	0.00587				
49630_6	0.00624	0.00715				
49630_7	0.95588	0.28338				
6702_0	0.10062	0.03752				
6702_1	0.05175	0.02959				
6702_10	0.04916	0.02516				
6702_11	0.70505	0.15965				
6702_2	0.06958	0.03016				
6702_3	0.06546	0.03209				
6702_4	0.05925	0.03141				
6702_5	0.06184	0.0334				
6702_6	0.06363	0.03005				
6702_7	0.05847	0.03101				
6702_8	0.05044	0.02706				
6702_9	0.05071	0.03136				
1079_0	0.22425	0.15881				
1079_1	0.19214	0.15921				
1079_10	0.26563	0.15815				
1079_11	0.25413	0.14395				
1079_12	0.24549	0.14892				
1079_13	0.86059	0.18876				
1079_14	0.88723	0.18581				
1079_2	0.26736	0.14956				
1079_3	0.23819	0.1498				
1079_4	0.22194	0.15272				
1079_5	0.24035	0.18037				
1079_6	0.23876	0.15966				
1079_7	0.26871	0.16054				
1079_8	0.26987	0.16511				
1079_9	0.23069	0.14863				
46517_0	0.00456	0.00961	46517	0.400005247774053	0.03602919589946829	0.3639760518745847
46517_1	0.00264	0.00942	46517	0.3917935625263196	0.03602919589946829	0.3557643666268513
46517_2	0.00744	0.00934	46517	0.017587338727991897	0.03602919589946829	-0.018441857171476395
46517_3	0.00816	0.01149	46517	0.7203072711967163	0.03602919589946829	0.684278075297248
46517_4	0.00887	0.00699	46517	0.0008351220278314253	0.03602919589946829	-0.035194073871636866
46517_5	0.05946	0.0114	46517	0.0001540315171254525	0.03602919589946829	-0.03587516438234284
CumbRAEbio_0	0.05368	0.08618				
CumbRAEbio_1	0.08808	0.1033				
52599_0	0.02029	0.01414				
52599_1	0.01759	0.01333				
52599_2	0.01732	0.01274				
52599_3	0.01488	0.01472				
52599_4	0.01569	0.01357				
52599_5	0.01759	0.0155				
21577_0	0.21505	0.0173				
21577_1	0.20388	0.01769				
21577_10	0.03989	0.01562				
21577_11	0.0501	0.01748				
21577_12	0.12541	0.01734				
21577_13	0.1077	0.0223				
21577_2	0.22558	0.01637				
21577_3	0.1985	0.01525				
21577_4	0.20293	0.02115				
21577_5	0.0992	0.01745				
21577_6	0.04462	0.01505				
21577_7	0.03889	0.01539				
21577_8	0.08089	0.02236				
21577_9	0.0451	0.01744				
35847_0	0.07474	0.03691	35847	0.006097547667747061	0.28865803541904406	-0.282560487751297
35847_1	0.04891	0.03466	35847	0.013461186563964667	0.28865803541904406	-0.2751968488550794
35847_2	0.04377	0.03313	35847	0.07036693235303815	0.28865803541904406	-0.2182911030660059
35847_3	0.0524	0.03545	35847	0.016690493762637537	0.28865803541904406	-0.2719675416564065
35847_4	0.04595	0.02771	35847	0.00010068351622050109	0.28865803541904406	-0.28855735190282356
47209_0	0.10416	0.03443	47209	4.953737420265725e-10	0.00012535858849732628	-0.00012535809312358426
47209_1	0.02019	0.02323	47209	6.7776405198172185e-06	0.00012535858849732628	-0.00011858094797750907
47209_2	0.02635	0.02123	47209	0.00012389576235760646	0.00012535858849732628	-1.4628261397198195e-06
47209_3	0.02019	0.02185	47209	5.904174260606965e-09	0.00012535858849732628	-0.00012535268432306568
47209_4	0.02733	0.02434	47209	1.9918649174499592e-08	0.00012535858849732628	-0.00012533866984815178
47209_5	0.02462	0.0269	47209	2.491895578771164e-11	0.00012535858849732628	-0.0001253585635783705
47209_6	0.02585	0.02172	47209	5.892460080980655e-07	0.00012535858849732628	-0.00012476934248922822
47209_7	0.03004	0.02079	47209	5.399118803151026e-07	0.00012535858849732628	-0.00012481867661701118
CumbRAE2bio_0	0.06027	0.09621				
CumbRAE2bio_1	0.06338	0.09537				
SmolTHAfic_0	0.13824	0.19795	SmolTHAfic	0.0007121756506164312	0.00014258844763137546	0.0005695872029850557
SmolTHAfic_1	0.12925	0.19233	SmolTHAfic	0.26186787130009237	0.00014258844763137546	0.261725282852461
SmolTHAfic_2	0.14108	0.19958	SmolTHAfic	1.1978760853237347e-06	0.00014258844763137546	-0.00014139057154605172
33402_0	0.03085	0.02548	33402	0.4345849868119074	0.602751608811259	-0.16816662199935162
33402_1	0.02589	0.01981	33402	0.9999999860691596	0.602751608811259	0.39724837725790063
33402_2	0.02708	0.02332	33402	0.997523372486258	0.602751608811259	0.394771763674999
33402_3	0.012	0.02004	33402	0.5788262938533976	0.602751608811259	-0.023925314957861432
33402_4	0.44147	0.11389	33402	0.015252966509883725	0.602751608811259	-0.5874986423013753
35717_0	0.10888	0.0187				
35717_1	0.06473	0.01005				
35717_10	0.06904	0.00609				
35717_11	0.09408	0.01182				
35717_12	0.07808	0.00742				
35717_13	0.06424	0.00944				
35717_14	0.07405	0.0066				
35717_15	0.07202	0.00966				
35717_2	0.0881	0.00966				
35717_3	0.07733	0.00902				
35717_4	0.06702	0.00744				
35717_5	0.07129	0.00727				
35717_6	0.07405	0.00981				
35717_7	0.07907	0.00793				
35717_8	0.09207	0.00504				
35717_9	0.07279	0.00733				
amory.01_0	0.09632	0.16385	amory.01	0.7706351700337266	0.5725842329544729	0.1980509370792537
amory.01_1	0.04739	0.1484	amory.01	0.8458880576998775	0.5725842329544729	0.2733038247454046
