docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder
uc1.b3581529	"Marsh, Richard"	d. 1915.	Tom Ossington's ghost	1898	1898	London;J. Bowden;1898?	"Marsh, Richard | Tom Ossington's Ghost"		40453	0.202360285	0.030354215				2	fic | mystery		m			peizhen
nyp.33433076063563	"Stoddard, William Osborn"	1835-1925.	With the Black Prince	1898	1902	New York;D. Appleton & Co.;1	"Stoddard, William Osborn | With the Black Prince"		46233	0.056994048	0.103892149	Juvenile audience|History	"Edward III, 1327-1377|History|History"		1	fic | historical		m			wenyi
nyp.33433074904933	"Moore, Frank Frankfort"	1855-1931.	The Jessamy bride	1898	1898	Chicago;H.S. Stone and Co.;1	"Moore, Frank Frankfort | The Jessamy Bride"		51951	0.187965241	0.021391805		"Goldsmith, Oliver|1730?-1774"		1	fic		m			wenyi
uc2.ark=+13960+t7dr2pt76	"Dix, Beulah Marie"	1876-1970.	Soldier Rigdale;	1899	1899	New York;The Macmillan Compa	"Dix, Beulah Marie | Soldier Rigdale"		44165	0.935773954	0.977434601		"Massachusetts|History|New Plymouth, 1620-1691"		1	fic | historical	juv	f			morgan
uc2.ark=+13960+t6639mx28	"Dix, Beulah Marie"	1876-1970.	Hugh Gwyeth;	1899	1899	New York;The Macmillan Compa	"Dix, Beulah Marie | Hugh Gwyeth"		52962	0.057701511	0.12717486		"Great Britain|History|Civil War, 1642-1649"		1	fic | historical	juv	f			morgan
uva.x002080011	"Rostand, Edmond,"		Cyrano de Bergerac;	1899		New York;R.H.Russell;1898	"Rostand, Edmond | Cyrano de Bergerac"	<blank>	54802							fic | historical		m		form = play	morgan
nc01.ark=+13960+t6d22qq35	"Page, Thomas Nelson"	1853-1922.	Red Rock;	1899	1899	New York;C. Scribner's sons;	"Page, Thomas Nelson | Red Rock"		49648	0.22473453	0.04530249		"Reconstruction (U.S. history, 1865-1877)"		2	fic | historical		m			wenyi
uc1.$b111381	"Allen, Grant"	1848-1899.	Miss Cayley's adventures	1899	1899	London;G. Richards;1899.	"Allen, Grant | Miss Cayley's Adventures"		30970	0.202302483	0.011822523				1	fic		m			ted
njp.32101063581829	"King, Charles"	1844-1933.	A trooper Galahad	1899	1899	Philadelphia;J.B. Lippincott	"King, Charles | A Trooper Galahad"		37688	0.076586777	0.001533846				3	fic | historical		m			peizhen
nyp.33433075746556	"Sedgwick, Anne Douglas"	1873-1935.	The confounding of Camelia	1899	1899	New York;C. Scribner's Sons;	"Sedgwick, Anne Douglas | The Confounding of Camelia"		41917	0.036887218	0.270344946				1	fic | romance		f			wenyi
uc1.$b304770	"Lagerlöf, Selma"		The miracles of Antichrist;	1899	1899	"Boston;Little, Brown and Com"	"Lagerlöf, Selma | The Miracles of Antichrist"		54615	0.032413367	0.661137621		Swedish fiction|English fiction|Translations into English|Translations from Swedish		1	fic | folklore | short		f			peizhen
uc2.ark=+13960+t1gh9cr0d	"Rathborne, St. George"	1854-1938.	Miss Fairfax of Virginia;	1899	1899	New York;Street & Street;c18	"Rathborne, St. George | Miss Fairfax of Virginia"		52599	0.096505858	0.006118589				2	fic | romance		m			wenyi
nyp.33433082303607	"Gibbons, Louise Elise"		"Janet, or, The Christmas stockings"	1899	1899	New York;Knickerbocker Press	"Gibbons, Louise Élise | Janet, or, The Christmas Stockings"		53826	0.436265859	0.192711044	Juvenile audience			1	fic	juv	m			peizhen
njp.32101068169471	"Galt, John"	1779-1839.	Ringan Gilhaize	1899	1823	"Glasgow, Dunn [1823?]"	"Galt, John | Ringhan Gilhaize; or, The covenanters."		30749	0.40254643	0.164182967				1	fic | historical		m			peizhen
uc2.ark=+13960+t9862t682	"Pease, Howard"	1894-1974.	Tales of Northumbria	1899	1899	London;Methuen;1899.	"Pease, Howard | Tales of Northumbria"		41795	0.397647279	0.000720108		Folklore|England|Northumberland		1	fic | folklore | short		m			wenyi
uc2.ark=+13960+t8x922744	"Johnston, Mary"	1870-1936.	By order of the company	1900	1900	Westminster;A. Constable;190	"Johnston, Mary | By order of the company"		45721	0.111721076	0.03953715				1	fic		f			peizhen
uc2.ark=+13960+t6m04bd3h	"Stephenson, Henry Thew"	1870-1957.	Patroon van Volkenberg	1900	1900	New York;Grosset & Dunlap;c1	"Stephenson, Henry Thew | Patroon van Volkenberg"		56971	0.014702921	0.00228154		"History|New York (N.Y.)|Colonial period, ca. 1600-1775"		1	fic | historical		m			wenyi
nyp.33433074949185	"Hobbes, John Oliver"	1867-1906.	Robert Orange;	1900	1900	New York;Frederick A. Stokes	"Hobbes, John Oliver | Robert Orange"		27997	0.14856208	0.008640023				2	fic		m			peizhen
uc2.ark=+13960+t5s758f17	"Gallon, Tom"	1866-1914.	The second Dandy Chater	1900	1900	"New York;Dodd, Mead;c1900."	"Gallon, Tom | The Second Dandy Chater"		47271	0.138994277	0.0022315				1	fic		m			peizhen
uc2.ark=+13960+t4kk95s76	"Raymond, Evelyn"	1843-1910.	Reels and spindles	1900	1900	Boston;Chicago;W.A.Wilde;190	"Raymond, Evelyn | Reels and Spindles"		27613	0.051761969	0.095552654				1	fic		f			wenyi
nc01.ark=+13960+t7pp06047	"Meade, L. T"	1854-1914.	Frances Kane's fortune	1900	1983	New York|Hurst|19--].	"Meade, L. T. | Frances Kane's Fortune"		28589						1	fic	juv	f			wenyi
wu.89014040836	"Hume, Fergus"	1859-1932.	A traitor in London	1900	1900	London;J. Long;1900.	"Hume, Fergus | A Traitor in London"		56081	0.011011834	0.045166503				1	fic | mystery		m			peizhen
uc2.ark=+13960+t4bn9z98f	"Standish, Burt L"	1866-1945.	Frank Merriwell's return to Yale	1900	1900	Philadelphia|David McKay|19-	"Standish, Burt L. | Frank Merriwell's Return to Yale"		35127						1	fic	juv	m			wenyi
uc1.$b112608	"Boldrewood, Rolf"	1826-1915.	Babes in the bush	1900	1900	London;New York;Macmillan;19	"Boldrewood, Rolf | Babes in the Bush"		51209	0.149673185	0.018838166				2	fic		m			ted
uc2.ark=+13960+t1gh9cr4b	"Ludlow, James M"		The captain of the Janizaries	1900	1900	New York;Harper & Brothers;1	"Ludlow, James M. | The Captain of the Janizaries"		40519	0.110585727	0.052894156				1	fic | historical		m			peizhen
nyp.33433074857685	"Hope, Anthony"	1863-1933.	Captain Dieppe	1900	1900	New York;Doubleday & McClure	"Hope, Anthony | Captain Dieppe"		28935	0.05805009	0.124269564				2	fic		m			peizhen
uc2.ark=+13960+t41r6nk0j	"Mitchell, John Ames"	1845-1918.	The pines of Lory	1901	1901	New York;Life Publishing Com	"Mitchell, John Ames | The Pines of Lory"		30600	0.081818531	0.010588532				1	fic		m			wenyi
nyp.33433076045693	"Merwin, Samuel"	1874-1936.	The road to Frontenac	1901	1901	"New York;Doubleday, Page & C"	"Merwin, Samuel | The Road to Frontenac"		28958	0.03878609	0.030686084	History	History|To 1763 (New France)		1	fic | historical		m			wenyi
mdp.39015059408545	"Horton, George"	1860-1942.	Like another Helen	1901	1901	Indianapolis;The Bowen-Merri	"Horton, George | Like Another Helen"		58115	0.262873074	0.20997288				2	fic | romance		m			peizhen
uc2.ark=+13960+t1fj2bc4c	"Overton, Gwendolen"	b. 1876.	The heritage of unrest	1901	1901	New York;Macmillan;1901.	"Overton, Gwendolen | The heritage of unrest"		57017	0.036976491	0.006162331		Arizona		1	fic		f			wenyi
uc2.ark=+13960+t6445k920	"Moore, Frank Frankfort"	1855-1931.	According to Plato	1901	1901	"New York;Dodd, Mead;1901."	"Moore, Frank Frankfort | According to Plato"		51969	0.071614044	0.004886264				2	fic		m			wenyi
uc1.b4795103	"Merezhkovsky, Dmitry Sergeyevich"	1865-1941.	The romance of Leonardo da Vinci	1901	1901	New York;G. P. Putnam;1901?	"Merezhkovsky, Dmitry Sergeyevich | The Romance of Leonardo da Vinci"		47902	0.130757724	0.047417835		Leonardo|da Vinci|1452-1519		1	fic | historical		m			wenyi
nyp.33433076052442	"Ryan, Marah Ellis"	1866-1934.	That girl Montana	1901	1901	"Chicago;Rand, McNally;c1901."	"Ryan, Marah Ellis | That Girl Montana"		27475	0.084568883	0.041308983				1	fic		f			wenyi
uc2.ark=+13960+t9k35vq9k	"Newbigging, Thomas"		Lancashire humour	1901	1901	London;Dent;1901.	"Newbigging, Thomas | Lancashire Humour"		39968	0.816142036	0.621531928		English wit and humor		1	fic | short		m			wenyi
uc2.ark=+13960+t2z31ns9z	"Paine, Albert Bigelow"	1861-1937.	The great white way;	1901	1901	New York;J. F. Taylor & Comp	"Paine, Albert Bigelow | The great white way;"		57527	0.211445253	0.062178031				1	fic		m			wenyi
uc1.32106000664778	"King, Clarence"	1842-1901.	Mountaineering in the Sierra Nevada	1901	1935	New York|W.W. Norton|1935.	"King, Clarence | Mountaineering in the Sierra Nevada"		54046	0.885292962	0.135325005	Bibliographies	Mountaineering		1	fic		m			peizhen
uc2.ark=+13960+t55d8qn3j	"Habberton, John"	1842-1921.	Caleb Wright;	1901	1901	Boston;Lothrop publishing co	"Habberton, John | Caleb Wright"		43994	0.228590865	0.008233874				2	fic		m			peizhen
uc2.ark=+13960+t0ms3kf47	"Taylor, William Alexander"	1837-1912.	Intermere	1901	1902	New York|Arno Press|1971.	"Taylor, William Alexander | Intermere"		53193	0.508493479	0.000771183		Utopias		1	fic | sf		m			wenyi
uc2.ark=+13960+t25b09s9q	"Lagerlöf, Selma"		From a Swedish homestead	1901	1901	"New York;Doubleday, Page;191"	"Lagerlöf, Selma | From a Swedish Homestead"		44630	0.193558488	0.02793441		"Bröchner, Jessie|Social life and customs|tr"		1	fic | folklore | short		f			peizhen
uc2.ark=+13960+t0ft8dm7j	"Lefevre, Edwin"	1871-1943.	Wall street stories	1901	1901	"New York;McClure, Phillips &"	"Lefèvre, Edwin | Wall street stories"		54130	0.041075632	0.446607726		Wall Street|United States|Securities industry		2	fic | historical		m			peizhen
njp.32101073045229	"Aicard, Jean"	1848-1921.	King of Camargue	1901	1901	Philadelphia;G. Barrie;c1901	"Aicard, Jean | King of Camargue"		33867	0.238637439	0.069530458				2	fic | historical		m			ted
uc2.ark=+13960+t39z9257x	"Gibbs, George"	1870-1942.	In search of Mademoiselle	1901	1901	Philadelphia;H. T. Coates &	"Gibbs, George | In Search of Mademoiselle"		48336	0.147368414	0.02222538				2	fic | historical		m			peizhen
uc2.ark=+13960+t44q7rw56	"Seawell, Molly Elliot"	1860-1916.	Francezka	1902	1902	Indianapolis;The Bowen-Merri	"Seawell, Molly Elliot | Francezka"		31804	0.118701346	0.152077953				2	fic | historical		f			wenyi
uc2.ark=+13960+t5z60ck60	"Potter, Margaret Horton"	1881-1911.	Istar of Babylon	1902	1902	New York;and London;Harper &	"Potter, Margaret Horton | Istar of Babylon"		38710	0.208158695	0.093072301				1	fic | historical		f			wenyi
mdp.39015066607519	"Serao, Mathilde"	1856-1927.	The conquest of Rome	1902	1902	New York and;London;Harper &	"Serao, Matilde | The conquest of Rome"		46517	0.50081312	0.026590955	Bibliographies			2	fic		f			wenyi
uc2.ark=+13960+t6c24sh1s	"Brady, Cyrus Townsend"	1861-1920.	Woven with the ship	1902	1902	Philadelphia;London;J. B. Li	"Brady, Cyrus Townsend | Woven with the Ship"		39097	0.126273119	0.080334995		"United States|Civil War, 1861-1865|History"		2	fic | historical		m			ted
mdp.39076002198757	"Lippmann, Julie Mathilde"	-1864	Sweet P's	1902	1902	Philadelphia;Penn Pub. Co.;1	"Lippmann, Julie Mathilde | Sweet P's"		53663	0.38243935	0.995539007	Juvenile audience	Only child|Juvenile fiction|Girls		1	fic	juv	m			peizhen
uc2.ark=+13960+t2c824r75	"Murray, Charles Theodore"	-1843	Mlle. Fouchette;	1902	1902	Philadelphia & London;J. B.	"Murray, Charles Theodore | Mlle. Fouchette"		30041	0.070880627	0.023755087				2	fic		m			wenyi
uc1.b3561885	"Huneker, James"	1857-1921.	Melomaniacs	1902	1902	New York;Scribner;1910.	"Huneker, James | Melomaniacs"		29751	0.109115055	0.103630965		Musical fiction		1	fic		m			peizhen
uc2.ark=+13960+t7fq9rj6k	"Page, Thomas Nelson"	1853-1922.	A captured Santa Claus	1902	1902		"Page, Thomas Nelson | A Captured Santa Claus"		33666	0.016188822	0.571422064				2	fic		m			wenyi
mdp.39015074380141	"Castlemon, Harry"	1842-1915.	Frank at Don Carlos' rancho	1902	1902	Chicago;M.A. Donohue & co.;1	"Castlemon, Harry | Frank at Don Carlos' Rancho"		42358	0.039255931	0.959944149	Juvenile audience	Uncles|Ranches|Adventure stories|Description and travel|Conduct of life|Country life|Animals|Juvenile fiction|Children		1	fic	juv	m			ted
uc2.ark=+13960+t95718c2t	"Banks, Nancy Huston"		Oldfield;	1902	1902	New York;The Macmillan compa	"Banks, Nancy Huston | Oldfield"		35239	0.02549407	0.025173477				2	fic | historical		f			ted
uc2.ark=+13960+fk3vt1gt0r	"Brady, Cyrus Townsend"	1861-1920.	"Sir Henry Morgan, buccaneer;"	1903	1903	New York;G. W. Dillingham Co	"Brady, Cyrus Townsend | Sir Henry Morgan, Buccaneer"		29316	0.002396786	0.024946012		"Buccaneers|1635?-1688|Morgan, Henry|Caribbean Area"		1	fic | historical		m			ted
nyp.33433075867162	"Lagerlöf, Selma"	1858-1940.	Jerusalem	1903	1903	London;Heinemann;1903.	"Lagerlöf, Selma | Jerusalem"		43279	0.15809818	0.093344012		Swedish fiction|Translations into English		1	fic | short		f			peizhen
uc2.ark=+13960+t7wm15j6h	"Gibbs, George"	1870-1942.	The love of Monsieur	1903	1903	New York;Grosset & Dunlap;c1	"Gibbs, George | The Love of Monsieur"		51468	0.017835046	0.002150868				1	fic | romance		m			peizhen
nyp.33433075762587	"Trent, Hilary"		Mr. Claghorn's daughter	1903	1903	New York;J.S. Ogilvie Publis	"Trent, Hilary | Mr. Claghorn's Daughter"		35436	0.034422058	0.001632971				1	fic		m			peizhen
uc2.ark=+13960+t3vt1h03p	"Kildare, Owen"	1864-1911.	My Mamie Rose;	1903	1903	New York;The Baker & Taylor	"Kildare, Owen | My Mamie Rose"		45684	0.73660715	0.027338297				2	fic | historical		m			peizhen
uc2.ark=+13960+t6251pd95	"Lee, Vernon"	1856-1935.	Penelope Brandling	1903	1903	London;T. Fisher Unwin;1903.	"Lee, Vernon | Penelope Brandling"		37180	0.382287153	0.008328359				1	fic		f			peizhen
mdp.39015063941465	"McCutcheon, George Barr"	1866-1928.	The Sherrods	1903	1903	New York;Grosset & Dunlap;c1	"McCutcheon, George Barr | The Sherrods"		35335	0.151564293	0.020479957				1	fic		m			wenyi
wu.89004438867	"Lewis, Alfred Henry"	1857-1914.	The Black Lion inn	1903	1903	New York;R. H. Russell;1903.	"Lewis, Alfred Henry | The Black Lion Inn"		55471	0.101886552	0.031201354				1	fic | mystery		m			peizhen
mdp.39015053141621	"MacLane, Mary"	1881-1929.	My friend Annabel Lee	1903	1903	Chicago;Herbert S. Stone and	"MacLane, Mary | My Friend Annabel Lee"		43624	0.378352159	0.614608326				2	fic		f			peizhen
nyp.33433074787809	"Lewis, Alfred Henry"	1857-1914.	Peggy O'Neal	1903	1903	Philadelphia;D. Biddle;1903	"Lewis, Alfred Henry | Peggy O'Neal"		53992	0.371038615	0.014707872		"Eaton, Margaret L. (O'Neale) Timberlake, 1799?-1879"		4	fic | mystery		m			peizhen
nnc1.cu58320768	"Madison, Lucy Foster"		A daughter of the Union	1903	1903	Philadelphia;The Penn publis	"Madison, Lucy Foster | A Daughter of the Union"		32993	0.083509624	0.886673199		"History|Civil War, 1861-1865"		1	fic | historical		f			peizhen
uc2.ark=+13960+t07w68h07	"Jackson, Charles Ross"	1867-1915.	Quintus Oakes	1904	1904	New York;G.W. Dillingham Com	"Jackson, Charles Ross | Quintus Oakes"		41790	0.254541685	0.023954118				1	fic | mystery		m			peizhen
uc2.ark=+13960+t55d8s45m	"Parker, Frances"		Hope Hathaway	1904	1904	"Boston, Mass;C.M. Clark Publ"	"Parker, Frances | Hope Hathaway"		36629	0.061545406	0.605676822				1	fic		f			wenyi
uc2.ark=+13960+t13n20p1r	"Merwin, Samuel"	1874-1936.	The Merry Anne	1904	1904	New York;The Macmillan compa	"Merwin, Samuel | The Merry Anne"		51916	0.045272491	0.009363189				3	fic		m			wenyi
uc2.ark=+13960+t7mp4xd46	"Standish, Burt L"	1866-1945.	Frank Merriwell's champions	1904	1904	Philadelphia;David McKay;c19	"Standish, Burt L. | Frank Merriwell's Champions"		42049	0.277385399	0.525358075				2	fic	juv	m			wenyi
uc2.ark=+13960+t3707wz36	"Barbour, Ralph Henry"	1870-1944.	Kitty of the roses	1904	1904	Philadelphia;J.B. Lippincott	"Barbour, Ralph Henry | Kitty of the Roses"		56652	0.021392398	0.17521556				2	fic | romance		m			ted
nc01.ark=+13960+t9r222068	"Rankin, Carroll Watson"	b. 1870.	Dandelion cottage	1904	1904	New York;Holt;c1904	"Rankin, Carroll Watson | Dandelion Cottage"		37871	0.047452055	0.875152457		Michigan|Marquette|Teenage girls		1	fic	juv	f			wenyi
uc2.ark=+13960+t12n5111g	"Barr, Robert"	1850-1912.	A Chicago princess	1904	1904	New York;Grosset & Dunlap;19	"Barr, Robert | A Chicago Princess"		52363	0.063020681	0.013846442	Historical fiction			1	fic		m			ted
uc2.ark=+13960+t59c6sr7s	"Barbour, Ralph Henry"	1870-1944.	The arrival of Jimpson	1904	1904	New York;D. Appleton and com	"Barbour, Ralph Henry | The Arrival of Jimpson"		45689	0.090363472	0.694665343				1	fic	juv	m			ted
inu.30000117931562	"Roberts, Morley"	1857-1942.	Lady Penelope	1904	1905	"Boston;Page;1905, c1904."	"Roberts, Morley | Lady Penelope"		45648	0.045667231	0.009514625				1	fic		m			wenyi
nnc1.1002152240	"Carryl, Guy Wetmore"	1873-1904.	"The transgression of Andrew Vane, a novel"	1904	1904	New York;H. Holt and company	"Carryl, Guy Wetmore | The Transgression of Andrew Vane"		38020	0.092389222	0.007765663			Revised fourth printing.	1	fic		m			ted
uva.x004604809	"Coolidge, Susan"	1835-1905.	The New-Year's bargain	1905	1905	"Boston;Little, Brown & co.;1"	"Coolidge, Susan | The New-Year's Bargain"		58762	0.145249564	0.98406018	Juvenile audience			1	fic	juv	f			ted
uc2.ark=+13960+t24b2xs5p	"Strang, Herbert"		The adventures of Harry Rochester	1905	1905	New York;Putnam's;1905.	"Strang, Herbert | The Adventures of Harry Rochester"		44362	0.23381833	0.019476792				1	fic | historical		m			wenyi
uc2.ark=+13960+t9668b32p	"Nason, Frank Lewis"	1856-1928.	The vision of Elijah Berl	1905	1905	"Boston;Little, Brown;1905."	"Nason, Frank Lewis | The Vision of Elijah Berl"		32107	0.011291455	0.004515811				2	fic		m			wenyi
uc2.ark=+13960+t2f767525	"Harris, Joel Chandler"	1848-1908.	Told by Uncle Remus;	1905	1905	"New York;McKinlay, Stone & M"	"Harris, Joel Chandler | Told by Uncle Remus"		55676	0.084765326	0.007635991		Folklore|United States|Southern States|African Americans|Tales		1	fic | folklore | short		m			peizhen
uc2.ark=+13960+t9m32rz66	"Deledda, Grazia"	1871-1936.	After the divorce	1905	1905	New York;H. Holt and company	"Deledda, Grazia | After the Divorce"		39834	0.072018499	0.011480372				1	fic | romance		f			morgan
uc2.ark=+13960+t3cz33w2p	"Coolidge, Asenath Carver"		The Independence Day horror at Killsbury	1905	1905	"Watertown, N.Y.;Hungerford-H"	"Coolidge, Asenath Carver | The Independence Day Horror at Killsbury"		39479	0.213342462	0.944674685				1	fic		m			ted
uc2.ark=+13960+t1vd6r264	"Allen, Willis Boyd"	1855-1938.	The north Pacific	1905	1905	New York;E.P. Dutton & Compa	"Allen, Willis Boyd | The North Pacific"		45413	0.33480268	0.039294986		"Russo-Japanese War, 1904-1905"		1	fic		m			ted
uc2.ark=+13960+t0zp3ww1d	"Cahan, Abraham"	1860-1951.	The white terror and the red;	1905	1905	New York;A. S. Barnes & Comp	"Cahan, Abraham | The white terror and the red"		39166	0.063843364	0.006846904		"History|Alexander II, 1855-1881|Russia"		2	fic | historical		m			ted
hvd.hn1svx	"Dodge, Mary Mapes"	1830-1905.	Hans Brinker;	1905	1869	New York;Scribner;1915.	"Dodge, Mary Mapes | Hans Brinker"		34378	0.224255149	0.870957484				2	fic	juv	f			morgan
mdp.39015039619617	"Sidney, Margaret"	1844-1924.	Ben Pepper	1905	1905	Boston;Lothrop publishing co	"Sidney, Margaret | Ben Pepper"		35178	0.071058614	0.836497703	Juvenile audience			1	fic	juv	f			wenyi
njp.32101066459387	"Glyn, Elinor"	1864-1943.	The vicissitudes of Evangeline; a novel	1905	1905	"New York, London;Harper & Br"	"Glyn, Elinor | The Vicissitudes of Evangeline"		51644	0.107185363	0.085570784				1	fic | romance		f			peizhen
uc2.ark=+13960+t5p844k98	"Bangs, John Kendrick"	1862-1922.	Mrs. Raffles;	1905	1905	New York;Harper & brothers;1	"Bangs, John Kendrick | Mrs. Raffles"		30853	0.195415127	0.048510115				1	fic | mystery		m			ted
nyp.33433074932322	"Barr, Robert"	1850-1912.	The speculations of John Steele	1905	1905	New York;F. A. Stokes compan	"Barr, Robert | The Speculations of John Steele"		55328	0.119993503	0.008495098				2	fic		m			ted
uc2.ark=+13960+t4hm54f1m	"Taylor, Mary Imlay"	1878-1938.	My Lady Clancarty;	1905	1905	"Boston;Little, Brown;1905."	"Taylor, Mary Imlay | My Lady Clancarty"		55706	0.056040758	0.012913681				1	fic | historical		f			wenyi
uc2.ark=+13960+t4sj1b51s	"Holley, Marietta"	1836-1926.	Around the world with Josiah Allen's wife	1905	1905	New York;G.W. Dillingham com	"Holley, Marietta | Around the World with Josiah Allen's Wife"		30190	0.580538958	0.066869889				1	fic		f			peizhen
uiuo.ark=+13960+t7pn91s13	"Deledda, Grazia"	1871-1936.	Nostalgia	1905	1905	London;Chapman and Hall;1905	"Deledda, Grazia | Nostalgia"		53905	0.083709082	0.006244076				1	fic		f			morgan
mdp.39015031304903	"Symons, Arthur"	1865-1945.	Spiritual adventures	1905	1905	"Lond.;A. Constable & co., lt"	"Symons, Arthur | Spiritual Adventures"		38893	0.198367209	0.007773849			A prelude to life.-Esther Kahn.-Christian Trevalga.-The childhood of Lucy Newcome.-The death of Peter Waydelin.-An autumn city.-Seward Lackland.--Extracts from the journal of Henry Luxulyan.	1	fic | short		m			wenyi
nyp.33433075765622	"Tracy, Louis"	1863-1928.	The Great Mogul	1905	1905	New York;E. J. Clode;1905.	"Tracy, Louis | The Great Mogul"		34134	0.028266697	0.183741592				2	fic		m			peizhen
uc2.ark=+13960+t8w953c07	"Kemp, Matthew Stanley"		Ande Trembath	1905	1905	Boston;C.M. Clark Publishing	"Kemp, Matthew Stanley | Ande Trembath"		39606	0.488693403	0.16281158				1	fic | historical		m			peizhen
uc2.ark=+13960+t4vh5f73p	"Kester, Vaughan"	1869-1911.	The fortunes of the Landrays	1905	1905	New York;Syndicate Publishin	"Kester, Vaughn | The Fortune of the Landrays"		52560	0.045389078	0.00441628				1	fic		m			peizhen
uc2.ark=+13960+t50g3j78r	"Lane, Elinor Macartney"	d. 1909.	Nancy Stair	1905	1905	"New York;D. Appleton;1904, t"	"Lane, Elinor Macartney | Nancy Stair"		28366	0.018938244	0.013608503				2	fic		f			peizhen
nyp.33433076024912	"MacGrath, Harold"	1871-1932.	Enchantment	1905	1905	Indanapolis;Bobbs-Merrill Co	"MacGrath, Harold | Enchantment"		55162	0.127446219	0.022441665			A night's enchantment -- The blind madonna -- No Cinderella -- Two candidates -- The enchanted hat.	2	fic | short		m			peizhen
uc2.ark=+13960+t20c51j32	"Butler, Ellis Parker"	1869-1937.	Perkins of Portland	1906	1906	Boston;H.B. Turner & co.;190	"Butler, Ellis Parker | Perkins of Portland"		44151	0.467169717	0.525358822				2	fic | short		m			ted
coo.31924064977014	"Hope, Anthony"	1863-1933.	Sophy of Kravonia	1906	1906	Leipzig;Tauchnitz;1906.	"Hope, Anthony | Sophy of Kravonia"	v.2	40414	0.076740283	0.001551213			Copyright ed.	1	fic		m			peizhen
uc2.ark=+13960+t6m048z3v	"Middleton, Thomas"		Legends of Longdendale;	1906	1906	Hyde;Clarendon Press;1906.	"Middleton, Thomas | Legends of Longdendale"		41108	0.353878249	0.053268088		Folklore|England|Cheshire		1	fic | folklore | short		m			wenyi
nyp.33433076045842	"Mills, Weymer Jay"	1880-1938.	The ghosts of their ancestors	1906	1906	"New York;Fox, Duffield & Co."	"Mills, Weymer Jay | The ghosts of their ancestors"		36991	0.159042315	0.122989937				2	fic | historical		m			wenyi
nyp.33433075741185	"Phillpotts, Eden"	1862-1960.	The American prisoner	1906	1906	London;Methuen & Co.;1906.	"Phillpotts, Eden | The American Prisoner"		58232	0.068901184	0.005639607		English fiction	4. ed.	1	fic		m			wenyi
uc2.ark=+13960+t7rn32903	"Gilson, Roy Rolfe"	1875-1933.	Miss Primrose	1906	1906	New York ; London;Harper & b	"Gilson, Roy Rolfe | Miss Primrose"		40735	0.141554399	0.803563815				2	fic	juv	m			peizhen
uc1.b4088057	"Duncan, Norman"	1871-1916.	The adventures of Billy Topsail : a story for boys	1906	1906	New York;Chicago [etc.;F. H.	"Duncan, Norman | The Adventures of Billy Topsail"		44037	0.052833001	0.22297404	Juvenile audience	Social life and customs		2	fic	juv	m			morgan
uc1.b3727822	"Ryan, Marah Ellis"	1866-1934.	For the soul of Rafael	1906	1906	Chicago;A.C. McClurg & Co.;1	"Ryan, Marah Ellis | For the Soul of Rafael"		39995	0.078925627	0.001305246	History	History|1850-1950|California		1	fic | historical		f			wenyi
uc1.32106014163130	"Lorrain, Jean"	1855-1906.	Monsieur de Phocas	1906	1994	"Sawtry, Cambs, [England|Deda"	"Lorrain, Jean | Monsieur de Phocas"		41413	0.230349445	0.007803802	Bibliographies			1	fic		m			peizhen
uc1.32106001615688	"Peretz, Isaac Leib"	1851 or 1852-1915.	Stories and pictures	1906	1906	Philadelphia;The Jewish publ	"Peretz, Isaac Loeb | Stories and Pictures"		37242	0.44362839	0.007883917		Jews|Russia		1	fic | short		m			wenyi
nc01.ark=+13960+t8rb8604q	"Stratemeyer, Edward"	1862-1930.	Dave Porter in the South seas	1906	1906	"Boston;Lothrop, Lee & Shepar"	"Stratemeyer, Edward | Dave Porter in the South Seas"		34347	0.138278354	0.980088057				2	fic	juv	m			wenyi
nyp.33433082357959	"Hough, Emerson"	1857-1923.	The king of Gee-Whiz	1906	1906	Indianapolis;Bobbs-Merrill;c	"Hough, Emerson | The King of Gee-Whiz"		41361	0.453435569	0.996589562	Juvenile audience			1	fic	juv	m			peizhen
mdp.39015013735850	"Sinclair, May"		Audrey Craven;	1906	1906	New York;H. Holt and company	"Sinclair, May | Audrey Craven"		29766	0.103024046	0.011179757			Author's edition.	1	fic		f			wenyi
nyp.33433076072424	"Johnson, Owen"	1878-1952.	Max Fargus	1906	1906	New York;The Baker & Taylor	"Johnson, Owen | Max Fargus"		46358	0.0731177	0.01044054				2	fic | mystery		m			peizhen
uc2.ark=+13960+t0rr1qt6x	"James, George Wharton"	1858-1923.	The story of Scraggles	1906	1906	"Boston;Little, Brown, and co"	"James, George Wharton | The Story of Scraggles"		42285	0.348072713	0.892262136		Song sparrow		2	fic		m			peizhen
miun.acr6473.0001.001	"Hopper, James"	1876-1956.	Caybigan	1906	1906	"New York;McClure, Phillips &"	"Hopper, James | Caybigan"		37250				"Philippines|Adventure stories, American|Americans|20th century"		2	fic		m			peizhen
uc2.ark=+13960+t5j96252j	"Gates, Eleanor"	1875-1951.	"Alec Lloyd, cowpuncher"	1907	1907	New York;Grosset & Dunlap;19	"Gates, Eleanor | Alec Lloyd, Cowpuncher"		33884	0.374279827	0.143143814				1	fic		f			peizhen
