docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder
uc2.ark=+13960+t9474d36n	"Stevenson, Robert Louis"	1850-1894.	Kidnapped;	1886	1886	New York;Charles Scribner's	"Stevenson, Robert Louis | Kidnapped"		56562	0.053275113	0.264777378	Bibliographies|Historical fiction	Teenage boys|1700 - 1799|Adventure stories|18th century|(OCoLC)fst00797462|Disinheritance|History|Kidnapping victims|(OCoLC)fst01206715|Jacobites|History		1	fic | historical	juv	m			wenyi
uc1.$b249252	"Harland, Henry"	1861-1905.	Mrs. Peixada	1886	1886	"New York;Cassell & Company,"	"Harland,, Henry | Mrs. Peixada"		52702	0.081253572	0.059007451				1	fic					peizhen
nyp.33433076064074	"Hill, Grace Livingston"	1865-1947.	A Chautauqua idyl	1887	1887	Boston;D. Lothrop Co.;1887.	"Hill, Grace Livingston | A Chautauqua Idyl"		51103	0.887460407	0.959007466		Chautauquas		1	fic		f			peizhen
uc2.ark=+13960+t10p0xb0m	"Castlemon, Harry"	1842-1915.	Julian Mortimer;	1887	1887	New York;A. L. Burt;c1887	"Castlemon, Harry | Julian Mortimer"		51738	0.048203525	0.708006254				1	fic	juv	m			ted
mdp.39015030705183	"Meredith, George"	1828-1909.	The ordeal of Richard Feverel : a history of a father and son	1888	1888	Boston;Roberts brothers;1888	"Meredith, George | The Ordeal of Richard Feverel"		34858	0.040563425	0.025758343	Bibliographies		New ed.	1	fic		m			wenyi
nyp.33433074861752	"Hughes, Thomas"	1822-1896.	Tom Brown at Rugby	1888	1888	Boston;Ginn and company;c188	"Hughes, Thomas | Tom Brown at Rugby"		33777	0.558533477	0.941832721	Juvenile audience	"Children's stories, English"		1	fic	juv	m	? biographical like fiction		peizhen
uc2.ark=+13960+t41r70x6f	"Mariager, Peder"		Pictures of Hellas;	1888	1888	New York;W. S. Gottsberger;1	"Mariager, Peder | Pictures of Hellas"		56929	0.198190681	0.539714526		Greece|Social life and customs		1	fic | folklore | short		m			peizhen
uc2.ark=+13960+t7cr60f6q	"Oliphant, Laurence"	1829-1888.	Piccadilly;	1888	1903	Edinburgh [etc.;W. Blackwood	"Oliphant, Laurence | Piccadilly"		36277	0.380727951	0.015723119				2	fic		m			wenyi
uc2.ark=+13960+t3513w81g	"Barrett, Frank"	-1848	The admirable Lady Biddy Fane	1888	1888	"New York : F.M. Lupton, [18--?]"	"Barrett, Frank | The Admirable Lady Biddy Fane"		34476						4	fic		m			ted
uc2.ark=+13960+t40s0065x	"Alcock, Deborah"	1835-1913.	The Spanish brothers	1888	1891	London ; New York;T. Nelson;	"Alcock, Deborah | The Spanish Brothers"		44262	0.064588784	0.179853718				1	fic | historical		f			ted
uc2.ark=+13960+t8v981c5n	"O'Rell, Max"	1848-1903.	"John Bull, junior"	1888	1888	"New York;Cassell & company,"	"O'Rell, Max | John Bull, Junior"		33564	0.611731807	0.877809056		Study and teaching|French language		1	fic	juv	m			wenyi
mdp.39015033584551	"Guiney, Louise Imogen"	1861-1920.	Brownies and bogles	1888	1888	Boston;D. Lothrop company;c1	"Guiney, Louise Imogen | Brownies and Bogles"		39782	0.426821183	0.918549402				1	fic		m			peizhen
uc2.ark=+13960+t50g3k86n	"Harland, Henry"	1861-1905.	My Uncle Florimond	1888	1888	Boston;D. Lothrop;c1888.	"Harland, Henry | My Uncle Florimond"		50698	0.117510988	0.249800316				1	fic | historical		m			peizhen
mdp.39015063516184	"Catherwood, Mary Hartwell"	1847-1902.	The romance of Dollard	1889	1889	New York;The Century co.;188	"Catherwood, Mary Hartwell | The Romance of Dollard"		50418	0.298529539	0.066789442	History	"Canada|History|1635-1660|Dollard des Ormeaux, Adam|History"		2	fic | historical		f			ted
uc2.ark=+13960+t53f4ms39	"Jewett, Sarah Orne"	1849-1909.	Betty Leicester	1889	1889	Boston;Houghton Mifflin;c188	"Jewett, Sarah Orne | Betty Leicester"		27923	0.132621984	0.98878171				1	fic		f			peizhen
mdp.39015057979646	"Carroll, Lewis"	1832-1898.	Sylvie and Bruno	1889	1889	London;New York;Macmillan an	"Carroll, Lewis | Sylvie and Bruno"		48630	0.086487346	0.712561527				1	fic		m			ted
uiuo.ark=+13960+t6vx0qd31	"Dowling, Richard"		An isle of Surrey	1889	1889	London;Ward and Downey;1889.	"Dowling, Richard | An Isle of Surrey"	v.2	42756	0.059446408	0.015852441				1	fic | mystery		m			morgan
nc01.ark=+13960+t57d41088	"Stevenson, Robert Louis"	1850-1894.	Treasure Island	1889	1889	New York;Scribner's;1895-191	"Stevenson, Robert Louis | Treasure Island"		27780	0.49926938	0.221983977	Juvenile audience|Sea stories|Bibliographies|Novel|Biography	"1864-|Adventure and adventurers|Pirates|Treasure Island (Imaginary place)|Adventure stories|editor|English fiction|Treasure troves|Buried treasure|Scottish authors|Juvenile fiction|Baker, Franklin Thomas"	[Thistle ed.]|v. 1. New Arabian nights -- v. 2. Treasure Island --  v. 3. More new Arabian nights. The dynamiter. The story of a lie -- v. 4. Prince Otto. Island nights' entertainment. Father Damien -- v. 5. Kidnapped -- v. 6. David Balfour -- v. 7. The merry men and other tales and fables. Strange case of Dr. Jeckyll and Mr. Hyde -- v. 8. The black arrow. The misadventures of John Nicholson. The body-snatcher -- v. 9. The master of Ballantrae -- v. 10. The wrecker -- v. 11. The wrong box. The	1	fic | historical	juv	m			wenyi
uc1.b3216573	"Catherwood, Mary Hartwell"	1847-1902.	The story of Tonty	1890	1890	Chicago;A. C. McClurg and co	"Catherwood, Mary Hartwell | The Story of Tonty"		41273	0.105504199	0.012822406		"sieur de|La Salle, Robert Cavelier|d. 1704|1643-1687|Tonti, Henri de"		1	fic | historical		f			ted
nyp.33433084128879	"Bates, Arlo"	1850-1918.	Albrecht	1890	1890	Boston;Roberts;c1890	"Bates, Arlo | Albrecht"		41764	0	0				2	fic		m			ted
uc2.ark=+13960+t2p55fv55	"Avery, Harold"	1867-1943.	Soldiers of the queen	1890	1890	London;New York;Thomas Nelso	"Avery, Harold | Soldiers of the Queen"		29415	0.221450814	0.258351246				1	fic		m			ted
mdp.49015002676188	"Alger, Horatio"	1832-1899.	Ralph Raymond's heir	1890	1900	"New York, N. Y.|A. L. Burt C"	"Alger, Horatio | Ralph Raymond's Heir"		54608	0.107072997	0.205957038			Ralph Raymond's heir.--White-faced Dick.--A brush with the Chinese and what came of it.	1	fic	juv	m			ted
mdp.39015030753944	"Jewett, Sarah Orne"	1849-1909.	Strangers and wayfarers	1890	1890	"Boston;New York;Houghton, Mi"	"Jewett, Sarah Orne | Strangers and Wayfarers"		31857	0.160980072	0.035983445		Social life and customs|Social life and customs|19th century	A winter courtship.--The mistress of Sydenham plantation.--The town poor.--The quest of Mr. Teaby.--The luck of the Bogans.--Fair day.--Going to Shrewsbury.--The taking of Captain Ball.--By the morning boat.--In dark New England days.--The white rose road.	3	fic | short		f			peizhen
mdp.39015063938529	"Hume, Fergus W"	-1868	Miss Mephistopheles	1890	1890	New York;G. Munro;1880	"Hume, Fergus | Miss Mephistopheles"		55378	0.424444609	0.022949856				1	fic | mystery		m			peizhen
uva.x000982662	"Valera, Juan"	1824-1905.	Pepita Ximenez	1891	1891	New York;Appleton;1891.	"Valera, Juan | Pepita Ximenez"		30236	0.365225918	0.000603949			New ed.	1	fic | romance		m			peizhen
uc2.ark=+13960+t06w9d704	"Broughton, Rhoda"	1840-1920.	Doctor Cupid	1891	1891	London;R. Bentley;1891.	"Broughton, Rhoda | Doctor Cupid"		35548	0.123743728	0.064142497				1	fic		f			ted
uc2.ark=+13960+t92806q6f	"Saltus, Edgar"	1855-1921.	Mary Magdalen;	1891	1891	New York;Brentano's;1919 [c1	"Saltus, Edgar | Mary Magdalen"		31510	0.058282166	0.038521119		Saint|Mary Magdalene		1	fic | historical		m			wenyi
njp.32101066919760	"Schubin, Ossip"	1854-1934.	Countess Erika's apprenticeship	1891	1891	Philadelphia;J.B. Lippincott	"Schubin, Ossip | Countess Erika's Apprenticeship"		35531	0.199561503	0.024415238				1	fic | romance		f			wenyi
uc1.$b248494	"Duncan, Sara Jeannette"	1861-1922.	An American girl in London	1891	1891	New York;D. Appleton and com	"Duncan, Sara Jeannette | An American Girl in London"		45925	0.467668899	0.630850009				4	fic		f			morgan
nyp.33433076089782	"Green, Anna Katharine"	1846-1935.	Cynthia Wakeham's money	1892	1892	New York [etc.;G.P. Putnam's	"Green, Anna Katharine | Cynthia Wakeham's Money"		36758	0.026108493	0.095356119				1	fic | mystery		f			peizhen
uc1.$b249254	"Gunter, Archibald Clavering"	1847-1907.	Miss Dividends	1892	1892	New York;Home Publishing Com	"Gunter, Archibald Clavering | Miss Dividends"		39824	0.246704001	0.031966565				2	fic		m			peizhen
coo1.ark=+13960+t2t447q6w	"Boldrewood, Rolf"	1826-1915.	Nevermore	1892	1892	"London and New York, Macmillan and co., 1892."	"Boldrewood, Rolf | Nevermore"		34240	0.134306326	0.000998272				2	fic		m			ted
uc2.ark=+13960+t8df6m76z	"Ogden, Antoinette"		Christmas stories from French and Spanish writers	1892	1892	Chicago;A. C. McClurg and co	"Ogden, Antoinette | Christmas Stories from French and Spanish writers"		47333	0.148249278	0.01798843		Christmas stories		1	fic | folklore | short		f			wenyi
uc2.ark=+13960+t5m904841	"Stredder, Eleanor"		Alive in the jungle	1892	1892	London;New York;T. Nelson;18	"Stredder, Eleanor | Alive in the Jungle"		43595	0.06108237	0.960810936				1	fic	juv	f			wenyi
uc2.ark=+13960+t6ww7b09m	"Carroll, Lewis"	1832-1898.	Sylvie and Bruno concluded	1893	1893	London;New York;Macmillan an	"Carroll, Lewis | Sylvie and Bruno Concluded"		48795	0.251799616	0.785430478				1	fic		m			ted
