gutenid	hathiids	hathistart	hathiend	gutenstart	gutenend	startpage	endpage
49332	uc2.ark=+13960+t8z897s8x	3557	336804	0	315810	12	342
35418	uc1.b4578709	2931	385707	0	395110	16	311
