docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder	Folder	Trimmed	isbio	passagefails	worderrors
loc.ark+=13960=t16m3zv21	de Stael, Germaine	1766-1817	Ten Years' Exile	1817	1821.0				16245							bio		f			ted	18cgutenbergtrimmed	Trimmed	True	0.03801500000000001	0.02991166666666667
yale.39002004679487	Reed, John	1887-1920.	Insurgent Mexico	1914	1914.0	New York;London;D. Appleton	Reed, John | Insurgent Mexico		48108	0.665062111	0.039582161		1910-1946|Revolution, 1910-1920|History	On the border.--Desert war.--Francisco Villa.--Jiminez and points west.--A people in arms.--Carranza, an impression.--Mexican nights.	1.0	bio		m			wenyi	gutenbiotrimmed	Trimmed	True	0.012281666666666665	0.027176666666666665
loc.ark+=13960=t8tb1750d	Levy, T. Aaron,		Lincoln, the politician	1918		Boston;R. G. Badger;c1918	Levy, T. Aaron | Lincoln, the Politician	<blank>	37686							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.12358	0.01647
nyp.33433082355466	Casson, Herbert Newton,		Cyrus Hall McCormick	1909		Chicago, A. C. McClurg & co.	Casson, Herbert Newton | Cyrus Hall McCormick	<blank>	41953							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.111395	0.0097325
wu.89097348320	Hall, Edward B.		Memoir of Mary L. Ware, wife of Henry Ware, Jr	1869		Boston;American Unitarian As	Hall, Edward B. | Memoir of Mary L. Ware, Wife of Henry Ware, Jr.	<blank>	36928							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.017835555555555556	0.012584444444444445
nyp.33433082399167|hvd.hnxcka	Colmache, Édouard		Reminiscences of Prince Talleyrand. Edited from the papers of the late M. Colmache, private secretary to the prince	1848	1848.0	London;H. Colburn;1848.	Colmache, Édouard | Reminiscences of Prince Talleyrand, Vol. 1 of 2	v. 1 | v. 2 | v.2	55347	0.563341563	0.053070282		prince de Bénévent|1754-1838|Talleyrand-Périgord, Charles Maurice de		3.0	bio		m			wenyi	gutenbiotrimmed	Trimmed	True	0.16217333333333334	0.016033333333333333
umn.31951000912730x	Tappan, Eva March	1854-1930.	In the days of Queen Elizabeth	1902	1902.0	Boston;Lee and Shepard;1902.	Tappan, Eva March | In the Days of Queen Elizabeth		47006	0.69208635	0.656335094				1.0	bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.0136725	0.009425
aeu.ark+=13960=t6640jc7m	Pompadour, Jeanne Antoinette	1721-1764	Memoirs of the Marchioness of Pompadour, vol. 1	1764	1766.0			1	52003							bio		f			ted	18cgutenbergtrimmed	Trimmed	True	0.17024250000000002	0.16902250000000002
mdp.39015005137784	Larsen, Hanna Astrup,		Knut Hamsun	1922		New York;A.A. Knopp;1922.	Larsen, Hanna Astrup | Knut Hamsun	<blank>	36754							bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.023385	0.021095000000000003
nyp.33433082380142	Goldsmith, Oliver		The Life of Richard Nash of Bath	1762	1762.0	London: Newbery			GoldOLRbio							bio|c18		m						True	0.08152000000000001	0.02928333333333333
