docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder	Folder	Trimmed	isbio	passagefails	worderrors
uc2.ark+=13960=t6c24r785	Rhodes, Eugene Manlove	1869-1934.	Bransford of Rainbow Range	1920	1920.0	New York;Grosset & Dunlap;19	Rhodes, Eugene Manlove | Bransford of Rainbow Range		33498	0.110128146	0.040199327				1.0	fic		m			wenyi	gutenfictiontrimmed	Trimmed	False	0.05564	0.0108825
mdp.39015030705183	Meredith, George	1828-1909.	The ordeal of Richard Feverel : a history of a father and son	1888	1888.0	Boston;Roberts brothers;1888	Meredith, George | The Ordeal of Richard Feverel		34858	0.040563425	0.025758343	Bibliographies		New ed.	1.0	fic		m			wenyi			False	0.07677846153846155	0.009023076923076924
mdp.39015063941465	McCutcheon, George Barr	1866-1928.	The Sherrods	1903	1903.0	New York;Grosset & Dunlap;c1	McCutcheon, George Barr | The Sherrods		35335	0.151564293	0.020479957				1.0	fic		m			wenyi	gutenfictiontrimmed	Trimmed	False	0.007234	0.00804
nyp.33433074864178	Hays, Mary	1759 or 60-1843.	Memoirs of Emma Courtney	1802	1802.0	New York;Printed for Hugh M.	Hays, Mary | Memoirs of Emma Courtney		41256	0.0	0.0				1.0	fic		f			peizhen			False	0.041409999999999995	0.17494799999999996
nnc1.0112365246	Holley, Marietta	1836-1926.	My opinions and Betsey Bobbet's	1875	1875.0	Hartford, Conn.;American Pub	Holley, Marietta | My Opinions and Betsey Bobbet's		55594	0.370061663	0.091586174				1.0	fic		f			peizhen			False	0.07828750000000001	0.010631249999999998
coo.31924021685759	Scott, Leroy	1875-1929.	Counsel for the defense	1912	1912.0	New York;A. L. Burt;c1912	Scott, Leroy | Counsel for the Defense		28820	0.030469879	0.088644023				1.0	fic		m			wenyi	gutenfictiontrimmed	Trimmed	False	0.035958333333333335	0.008356666666666667
uc1.$b248476	Burton, Frederick Russell		The mission of Poubalov	1897	1897.0	New York;Street & Smith;c189	Burton, Frederick Russell | The Mission of Poubalov		46774	0.094675601	0.1079072				2.0	fic		m			ted			False	0.010974000000000001	0.013718
uiug.30112042033529	Sheridan, Frances C.	1724-1766	The History of Nourjahad	1767	1792.0				SherFHNfic							fic|c18		f						False	0.061689999999999995	0.21127
njp.32101067630754	Brown, Charles Brockden		Edgar Huntly, or, Memoirs of a Sleepwalker	1799	1827.0				8223							fic		m	n		ted	18cgutenbergtrimmed	Trimmed	False	0.008077142857142856	0.014685714285714286
nyp.33433074863105	Hewlett, Maurice Henry	1861-1923.	Love and Lucy	1916	1916.0	New York;Dodd, Mead and comp	Hewlett, Maurice Henry | Love and Lucy		29868	0.033187535	0.015930194				3.0	fic | romance		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.0087475	0.00858
uva.x004152854	Carroll, Lewis	1832-1898.	Alice's adventures in Wonderland	1896	1896.0	Philadelphia;H. Altemus;c189	Carroll, Lewis | Alice's Adventures in Wonderland		28885	0.217040607	0.984581825	Juvenile audience			1.0	fic	juv	m			ted			False	0.11169	0.007535
