chunkid	passagefails	worderrors
6422_4	0.00273	0.00202
6422_5	0.00155	0.00187
6422_6	0.00417	0.0013
55071_0	0.76515	0.02647
55071_1	0.81714	0.02781
58009_0	0.04132	0.00485
58009_1	0.00452	0.0055
58009_2	0.00888	0.00695
45925_0	0.06904	0.00703
45925_1	0.02714	0.00665
45925_2	0.03683	0.00763
45925_3	0.02907	0.00594
45925_4	0.0301	0.00679
45925_5	0.1761	0.00791
51788_0	0.00796	0.00788
51788_1	0.00582	0.00857
51788_2	0.00667	0.00982
51788_3	0.27097	0.00859
SherFHNfic_0	0.06573	0.21404
SherFHNfic_1	0.05765	0.2085
48795_0	0.40649	0.00697
48795_1	0.00742	0.00517
48795_2	0.00357	0.00633
48795_3	0.01561	0.00972
48795_4	0.00896	0.011
48795_5	0.28556	0.00777
42870_0	0.06683	0.01893
42870_1	0.03737	0.02134
42870_2	0.03636	0.02302
42870_3	0.04288	0.01795
42870_4	0.04272	0.0155
49850_0	0.49082	0.02736
49850_1	0.46351	0.02032
49850_10	0.47902	0.03027
49850_11	0.49705	0.02902
49850_12	0.51513	0.03615
49850_13	0.84744	0.03652
49850_14	0.99849	0.01408
49850_15	0.99853	0.0
49850_16	0.99803	0.0
49850_17	0.99602	0.0
49850_18	1.0	0.0
49850_2	0.44563	0.02156
49850_3	0.50082	0.027
49850_4	0.49217	0.03326
49850_5	0.52002	0.02929
49850_6	0.4982	0.03372
49850_7	0.47475	0.03057
49850_8	0.4786	0.03094
49850_9	0.46566	0.03034
46220_0	0.44056	0.00599
46220_1	0.00156	0.00617
46220_2	0.18222	0.00702
40453_0	0.02181	0.00353
40453_1	0.00693	0.00958
40453_2	0.01011	0.00666
40453_3	0.3451	0.00612
55328_0	0.01883	0.01076
55328_1	0.00341	0.01122
55328_2	0.00076	0.00984
55328_3	0.00377	0.01038
55328_4	0.00417	0.01148
55328_5	0.00429	0.00871
29751_0	0.0133	0.01194
29751_1	0.00117	0.01218
29751_2	0.00279	0.01317
29751_3	0.00352	0.00932
29751_4	0.00082	0.01449
29751_5	0.06441	0.01333
39768_0	0.01212	0.01036
39768_1	0.00267	0.00832
39768_2	0.0034	0.00838
39768_3	0.00272	0.00794
39768_4	0.0034	0.00698
39768_5	0.00403	0.00606
39768_6	0.1577	0.00687
28856_0	0.04468	0.00783
28856_1	0.01181	0.00688
28856_2	0.01767	0.00755
28856_3	0.01073	0.00604
28856_4	0.00984	0.0066
28856_5	0.00799	0.00678
34476_0	0.01205	0.00508
34476_1	0.0	0.00532
34476_2	0.0	0.00673
34476_3	0.00065	0.00552
34476_4	0.00177	0.00471
34476_5	0.0	0.00632
34476_6	0.00113	0.00551
34476_7	0.00069	0.00822
34476_8	0.00122	0.00609
34476_9	0.00458	0.00757
52240_0	0.01267	0.00928
52240_1	0.00194	0.00665
52240_2	0.00139	0.00765
52240_3	0.00257	0.00712
52240_4	0.00275	0.00979
52240_5	0.0004	0.0124
52240_6	0.10301	0.00913
51909_0	0.02451	0.01075
51909_1	0.0004	0.00835
51909_2	0.00165	0.00839
51909_3	0.00398	0.00961
52019_0	0.02095	0.01405
52019_1	0.0	0.00882
52019_2	0.00059	0.01036
52019_3	0.00045	0.00785
52019_4	0.00048	0.00664
52019_5	0.0	0.00761
52019_6	0.00398	0.00673
33008_0	0.01874	0.00946
33008_1	0.0158	0.00972
33008_2	0.01044	0.01369
33008_3	0.00788	0.00862
OldyWLDbio_0	0.07195	0.02278
OldyWLDbio_1	0.05985	0.03517
OldyWLDbio_2	0.02984	0.04439
OldyWLDbio_3	0.02715	0.02745
34000_0	0.02353	0.00973
34000_1	0.00233	0.00924
34000_2	0.00154	0.0101
34000_3	0.00374	0.00919
34000_4	0.00371	0.0105
34000_5	0.00106	0.00921
34000_6	0.00524	0.00745
34000_7	0.00202	0.01075
34000_8	0.00171	0.00837
34000_9	0.00605	0.01123
16276_0	0.18973	0.01788
16276_1	0.21931	0.01539
16276_2	0.08607	0.01809
16276_3	0.13691	0.01943
16276_4	0.36816	0.01417
16276_5	0.24807	0.01395
16276_6	0.20118	0.0137
16276_7	0.43159	0.0187
39915_0	0.04581	0.02131
39915_1	0.00254	0.02179
39915_2	0.0007	0.02215
39915_3	0.0	0.02043
39915_4	0.001	0.01922
39915_5	0.18954	0.02036
40385_0	0.00599	0.01028
40385_1	0.00065	0.00947
40385_10	0.00903	0.01162
40385_2	0.0	0.0094
40385_3	0.00104	0.01099
40385_4	0.0	0.01016
40385_5	0.00267	0.01031
40385_6	0.00168	0.01067
40385_7	0.00143	0.01204
40385_8	0.00064	0.01157
40385_9	0.00182	0.01129
9611_0	0.23764	0.15883
9611_1	0.01661	0.14976
9611_2	0.02302	0.15274
9611_3	0.02358	0.1457
9611_4	0.71412	0.16351
RichSPO3fic_0	0.70552	0.1242
RichSPO3fic_1	0.03273	0.14158
RichSPO3fic_2	0.03065	0.14667
RichSPO3fic_3	0.02934	0.13685
RichSPO3fic_4	0.02909	0.13762
RichSPO3fic_5	0.03108	0.14331
RichSPO3fic_6	0.06359	0.14782
56929_0	0.20025	0.01264
56929_1	0.02007	0.01055
56929_2	0.01205	0.01418
56929_3	0.00591	0.01287
56929_4	0.01142	0.01066
56929_5	0.11519	0.01258
ee21010.01_0	0.70726	0.13637
ee21010.01_1	0.08889	0.14007
ee21010.01_2	0.84373	0.1427
ee21010.01_3	1.0	0.0
ee21010.01_4	1.0	0.0
ee21010.01_5	0.99858	0.09677
ee21010.01_6	0.99991	0.0
ee21010.01_7	1.0	0.0
ee21010.01_8	1.0	0.0
32249_0	0.02015	0.00594
32249_1	0.00422	0.00641
32249_2	0.00301	0.00668
32249_3	0.01177	0.00607
46709_0	0.15229	0.01061
46709_1	0.00832	0.00971
46709_2	0.0079	0.0096
46709_3	0.0082	0.00825
46709_4	0.00766	0.00954
46709_5	0.0067	0.01337
46709_6	0.01625	0.00987
46709_7	0.01491	0.0124
46709_8	0.08941	0.01435
51665_0	0.03454	0.01294
51665_1	0.00643	0.01626
51665_10	0.01118	0.01552
51665_11	0.00942	0.01603
51665_12	0.00852	0.02015
51665_13	0.00846	0.01848
51665_2	0.01039	0.01327
51665_3	0.00906	0.01676
51665_4	0.00519	0.01725
51665_5	0.00628	0.01571
51665_6	0.00767	0.01582
51665_7	0.00743	0.01559
51665_8	0.00822	0.01831
51665_9	0.01327	0.01356
51103_0	0.26934	0.01373
34016_0	0.04859	0.00424
49003_0	0.06986	0.0063
49003_1	0.0076	0.00689
49003_10	0.01437	0.00959
49003_2	0.00829	0.00805
49003_3	0.00996	0.00969
49003_4	0.0056	0.00633
49003_5	0.01071	0.00757
49003_6	0.01459	0.00976
49003_7	0.00558	0.00847
49003_8	0.00363	0.00653
49003_9	0.00537	0.0075
47006_0	0.04375	0.00783
47006_1	0.00207	0.01011
47006_2	0.00342	0.01038
47006_3	0.00545	0.00938
36758_0	0.0714	0.00655
36758_1	0.00708	0.00398
36758_2	0.00555	0.00536
36758_3	0.00477	0.00832
36758_4	0.00489	0.0061
36758_5	0.06467	0.00537
696_0	0.28402	0.03094
696_1	0.00155	0.02833
696_2	0.00579	0.03066
34990_0	0.05163	0.01234
34990_1	0.05587	0.0122
33609_0	0.24528	0.00737
33609_1	0.2786	0.00811
33609_10	0.66923	0.00862
33609_2	0.25599	0.00699
33609_3	0.41898	0.009
33609_4	0.58568	0.00824
33609_5	0.82101	0.00714
33609_6	0.74853	0.00687
33609_7	0.71029	0.00719
33609_8	0.64508	0.00944
33609_9	0.67142	0.00599
39326_0	0.25094	0.00378
39326_1	0.00136	0.00535
39326_2	0.01785	0.00236
39326_3	0.00174	0.00343
39326_4	0.00321	0.00467
39326_5	0.00359	0.00474
39326_6	0.02466	0.00574
39326_7	0.019	0.00669
39326_8	0.01119	0.00472
39326_9	0.02115	0.00599
52154_0	0.05742	0.00393
52154_1	0.02532	0.00691
52154_10	0.03727	0.00673
52154_11	0.03117	0.00681
52154_12	0.04771	0.00422
52154_2	0.02224	0.00463
52154_3	0.03706	0.00663
52154_4	0.0305	0.00574
52154_5	0.03645	0.00589
52154_6	0.02404	0.00761
52154_7	0.01538	0.00861
52154_8	0.03399	0.00441
52154_9	0.02912	0.00604
36612_0	0.01806	0.00253
36612_1	0.00239	0.00319
36612_2	0.0089	0.00415
36612_3	0.07889	0.00596
53707_0	0.15482	0.01289
53707_1	0.00194	0.01332
53707_10	0.00569	0.02283
53707_11	0.0029	0.02185
53707_12	0.00614	0.01692
53707_13	0.00627	0.01428
53707_2	0.00199	0.01324
53707_3	0.0037	0.01053
53707_4	0.01054	0.01287
53707_5	0.00545	0.01127
53707_6	0.00439	0.01208
53707_7	0.00194	0.01485
53707_8	0.00503	0.01273
53707_9	0.00198	0.0166
535_0	0.06134	0.00894
535_1	0.04785	0.01041
29849_0	0.14364	0.00797
29849_1	0.01543	0.01077
29849_2	0.01823	0.00905
29849_3	0.00383	0.00836
29849_4	0.02395	0.00975
29849_5	0.00908	0.01
29849_6	0.0097	0.00842
42024_0	0.02756	0.01797
42024_1	0.02211	0.02538
