chunkid	passagefails	worderrors
21577_0	0.25676	0.00775
21577_1	0.27749	0.0088
21577_10	0.00059	0.01219
21577_11	0.00807	0.0123
21577_12	0.14007	0.01216
21577_13	0.08045	0.01415
21577_2	0.27673	0.00985
21577_3	0.25427	0.00826
21577_4	0.27109	0.01123
21577_5	0.08136	0.01321
21577_6	0.00245	0.01136
21577_7	0.00388	0.0112
21577_8	0.02385	0.01345
21577_9	0.00701	0.01362
32084_0	0.02498	0.00884
32084_1	0.00183	0.00944
32084_2	0.00422	0.01137
39927_0	0.08713	0.02325
39927_1	0.00464	0.0236
39927_2	0.00391	0.02549
39927_3	0.81315	0.02318
DefoDLSfic_0	0.01675	0.02008
DefoDLSfic_1	0.01198	0.02289
DefoDLSfic_2	0.00947	0.01967
DefoDLSfic_3	0.00948	0.02438
DefoDLSfic_4	0.00236	0.02137
DefoDLSfic_5	0.00909	0.02539
DefoDLSfic_6	0.08859	0.02354
36433_0	0.0502	0.00389
36433_1	0.00431	0.0053
36433_10	0.00756	0.00548
36433_11	0.00594	0.00577
36433_2	0.00548	0.00607
36433_3	0.00482	0.0052
36433_4	0.00858	0.00561
36433_5	0.01695	0.00729
36433_6	0.00508	0.00583
36433_7	0.02424	0.00801
36433_8	0.00901	0.00573
36433_9	0.02596	0.00546
16913_0	0.02384	0.01775
16913_1	0.01008	0.01632
16913_2	0.01057	0.01636
16913_3	0.01022	0.01649
16913_4	0.00832	0.02083
16913_5	0.01324	0.0154
16913_6	0.01076	0.01616
16913_7	0.00727	0.01723
16913_8	0.02066	0.01646
16245_0	0.18604	0.02777
16245_1	0.00706	0.02969
16245_2	0.01452	0.02864
16245_3	0.00749	0.03252
16245_4	0.00631	0.03051
16245_5	0.00667	0.03034
16912_0	0.13663	0.01664
16912_1	0.00529	0.01658
16912_2	0.00361	0.01632
16912_3	0.01453	0.01493
16912_4	0.01008	0.01652
16912_5	0.05507	0.01646
16912_6	0.01262	0.01567
42358_0	0.0096	0.00739
42358_1	0.00151	0.00658
42358_2	0.00075	0.007
42358_3	0.73049	0.00518
35846_0	0.07543	0.02664
35846_1	0.00894	0.02747
35846_2	0.00943	0.0265
35846_3	0.02446	0.02526
35846_4	0.02216	0.024
52215_0	0.21976	0.22683
52215_1	0.31293	0.24464
52215_2	0.07027	0.19021
30733_0	0.02162	0.00829
30733_1	0.00525	0.00926
30733_2	0.00186	0.00621
30733_3	0.00138	0.00876
30733_4	0.00257	0.00812
50993_0	0.03644	0.00885
50993_1	0.00258	0.00762
50993_2	0.00523	0.00492
50993_3	0.07547	0.00653
37908_0	0.02065	0.02301
37908_1	0.05013	0.02565
37908_2	0.02349	0.02015
37908_3	0.01165	0.01976
37908_4	0.01155	0.02257
37908_5	0.0096	0.02397
37908_6	0.0177	0.02595
37908_7	0.08528	0.02202
22345_0	0.21817	0.01869
22345_1	0.09739	0.01458
22345_2	0.05722	0.01495
22345_3	0.09162	0.01618
22345_4	0.09814	0.01889
22345_5	0.06059	0.021
22345_6	0.13579	0.01821
56605_0	0.03837	0.02276
56605_1	0.00152	0.02259
56605_2	4e-05	0.0212
56605_3	0.49521	0.01875
38888_0	0.01615	0.01207
38888_1	0.00903	0.00971
38888_2	0.00469	0.01109
38888_3	0.00717	0.01123
38888_4	0.01009	0.01009
38888_5	0.00559	0.0095
38888_6	0.0181	0.01191
34240_0	0.01209	0.01052
34240_1	0.00535	0.00829
34240_2	0.0019	0.00935
34240_3	0.00672	0.00975
34240_4	0.00184	0.00857
34240_5	0.00324	0.0113
34240_6	0.00723	0.00845
34240_7	0.00564	0.00753
34240_8	0.00152	0.0118
34240_9	0.93627	0.00967
2706_0	0.06644	0.02312
2706_1	0.03172	0.024
2706_2	0.04063	0.02119
HaylWLMbio_0	0.42344	0.05735
HaylWLMbio_1	0.08429	0.03366
HaylWLMbio_2	0.09142	0.04577
HaylWLMbio_3	0.0414	0.0398
HaylWLMbio_4	0.06322	0.05853
HaylWLMbio_5	0.04169	0.05378
HaylWLMbio_6	0.6198	0.03162
43169_0	0.03704	0.01032
43169_1	0.00454	0.00734
43169_2	0.00322	0.00887
43169_3	0.00213	0.00728
43169_4	0.00228	0.00793
43169_5	0.16313	0.0074
52702_0	0.01916	0.01044
52702_1	0.00241	0.01264
52702_2	0.003	0.00732
52702_3	0.00099	0.00641
52702_4	0.05867	0.00774
manley.02_0	0.9993	0.36364
manley.02_1	0.99943	0.0
manley.02_10	1.0	0.0
manley.02_2	1.0	0.0
manley.02_3	0.99947	0.0
manley.02_4	0.99865	0.14286
manley.02_5	1.0	0.0
manley.02_6	0.99963	0.0
manley.02_7	1.0	0.0
manley.02_8	0.99935	0.0
manley.02_9	0.99885	0.14286
38294_0	0.05092	0.00544
38294_1	0.02526	0.00471
38294_2	0.02998	0.00735
38294_3	0.02735	0.00719
38294_4	0.03001	0.00489
38294_5	0.03029	0.0062
38294_6	0.02983	0.00541
38294_7	0.40087	0.00733
53637_0	0.02451	0.02447
53637_1	0.00524	0.02624
53637_2	0.00343	0.02395
53637_3	0.08892	0.02189
58982_0	0.0163	0.01473
58982_1	0.00709	0.01485
58982_2	0.00769	0.01451
63337_0	0.05036	0.02397
63337_1	0.02254	0.02119
63337_2	0.02864	0.02202
63337_3	0.03371	0.02455
30236_0	0.19081	0.02014
30236_1	0.00068	0.01905
30236_2	0.00312	0.01937
30236_3	0.00409	0.02076
30236_4	0.44603	0.01463
37820_0	0.00895	0.00925
37820_1	0.0013	0.00835
37820_2	0.00651	0.00905
37820_3	0.00286	0.00692
37820_4	0.50278	0.00913
35548_0	0.01305	0.01383
35548_1	0.00052	0.01075
35548_2	0.00366	0.01191
35548_3	0.00257	0.0105
35548_4	0.00219	0.01524
35548_5	0.00161	0.00995
35548_6	0.00196	0.0093
35548_7	0.00202	0.01391
35548_8	0.00567	0.0124
36928_0	0.08983	0.01412
36928_1	0.00732	0.01554
36928_2	0.01375	0.00971
36928_3	0.00705	0.01016
36928_4	0.01182	0.00982
36928_5	0.00509	0.01316
36928_6	0.00832	0.01411
36928_7	0.00841	0.01206
36928_8	0.00893	0.01458
43437_0	0.16043	0.13988
43437_1	0.01114	0.13969
43437_10	0.0292	0.14568
43437_11	0.01882	0.13824
43437_12	0.01056	0.14051
43437_13	0.01822	0.1398
43437_2	0.01639	0.13985
43437_3	0.02013	0.15111
43437_4	0.01726	0.14309
43437_5	0.00705	0.13929
43437_6	0.00772	0.14464
43437_7	0.01436	0.13806
43437_8	0.0168	0.14249
43437_9	0.02336	0.15128
37361_0	0.68613	0.0192
37361_1	0.67531	0.01559
37361_10	0.62098	0.02451
37361_11	0.58233	0.02569
37361_12	0.56796	0.01836
37361_13	0.56703	0.01698
37361_2	0.71919	0.01126
37361_3	0.76139	0.0114
37361_4	0.78571	0.01944
37361_5	0.77943	0.01442
37361_6	0.74082	0.02176
37361_7	0.75737	0.02627
37361_8	0.67466	0.01819
37361_9	0.66243	0.02136
56562_0	0.07969	0.01264
56562_1	0.00906	0.01463
56562_2	0.00449	0.01491
56562_3	0.00621	0.01213
56562_4	0.00752	0.01376
56562_5	0.36731	0.01534
29598_0	0.01987	0.00882
29598_1	0.00724	0.01034
18591_0	0.62047	0.02156
18591_1	0.37745	0.02009
18591_2	0.38397	0.02777
18591_3	0.4005	0.02398
18591_4	0.50209	0.02262
18591_5	0.55285	0.02242
18591_6	0.54384	0.01729
18591_7	0.5271	0.02059
18591_8	0.6635	0.01454
18591_9	0.9908	0.0339
43595_0	0.01777	0.00784
43595_1	0.00365	0.00888
43595_2	0.00299	0.00715
42476_0	0.07548	0.01032
42476_1	0.01793	0.01025
42476_2	0.0147	0.0103
42476_3	0.01861	0.00625
44426_0	0.06678	0.00415
44426_1	0.00057	0.00151
44426_2	0.00383	0.00195
44426_3	0.0	0.0022
44426_4	0.00794	0.00238
44630_0	0.00833	0.00929
44630_1	0.00178	0.00983
44630_2	0.00345	0.01314
44630_3	0.00416	0.01002
44630_4	0.00182	0.00888
44630_5	0.00569	0.00872
27779_0	0.02125	0.01603
27779_1	0.00405	0.01802
27779_2	0.01695	0.02007
30749_0	0.0439	0.0136
30749_1	0.00347	0.01338
30749_2	0.01431	0.01458
30749_3	0.01084	0.01291
30749_4	0.01141	0.01638
30749_5	0.01031	0.01641
30749_6	0.00449	0.01188
30749_7	0.007	0.01229
30749_8	0.00315	0.01241
30749_9	0.16558	0.01466
54218_0	0.13244	0.00482
54218_1	0.01243	0.00408
54218_10	0.01213	0.00399
54218_11	0.01663	0.00377
54218_12	0.04115	0.00447
54218_13	0.09556	0.00276
54218_2	0.01496	0.0037
54218_3	0.03821	0.00312
54218_4	0.01498	0.00285
54218_5	0.02974	0.00286
54218_6	0.027	0.00312
54218_7	0.02973	0.00309
54218_8	0.01396	0.00407
54218_9	0.02923	0.00291
53826_0	0.01491	0.00357
34883_0	0.99855	0.01639
34883_1	0.01443	0.01752
34883_2	0.01162	0.02008
34883_3	0.0121	0.02011
34883_4	0.0146	0.02517
34883_5	0.01879	0.0221
34883_6	0.01942	0.02528
38049_0	0.08922	0.00929
38049_1	0.0165	0.00828
38049_2	0.01024	0.00654
38049_3	0.00595	0.00797
38049_4	0.01462	0.00721
38049_5	0.01675	0.00612
38049_6	0.01568	0.00665
38049_7	0.11684	0.00714
45317_0	0.07968	0.01452
45317_1	0.02279	0.01058
45317_2	0.02173	0.0176
34263_0	0.02278	0.00653
34263_1	0.00402	0.00668
34263_2	0.01017	0.0069
34263_3	0.15136	0.00459
44949_0	0.07959	0.00612
44949_1	0.00455	0.0085
44949_2	0.07011	0.00618
6422_0	0.17158	0.00336
6422_1	0.00054	0.00194
6422_2	0.0	0.00188
6422_3	0.00191	0.00226
