chunkid	passagefails	worderrors
33081_1	0.00298	0.00388
33081_10	0.0	0.00328
33081_11	0.00067	0.00789
33081_12	0.00112	0.00344
33081_13	0.00166	0.00379
33081_2	0.0	0.00511
33081_3	0.00124	0.00247
33081_4	0.0	0.00418
33081_5	0.00171	0.00447
33081_6	0.00123	0.0035
33081_7	0.00077	0.00411
33081_8	0.00048	0.0053
33081_9	0.00248	0.0041
46346_0	0.05411	0.17547
46346_1	0.02734	0.16939
46346_10	0.02544	0.16745
46346_11	0.04352	0.16491
46346_12	0.03525	0.15999
46346_13	0.03704	0.17186
46346_14	0.02648	0.1764
46346_15	0.02624	0.16337
46346_16	0.01817	0.15901
46346_17	0.0336	0.15675
46346_2	0.03171	0.1699
46346_3	0.04041	0.16586
46346_4	0.03806	0.16918
46346_5	0.03457	0.17833
46346_6	0.02992	0.1723
46346_7	0.03236	0.16916
46346_8	0.05957	0.17103
46346_9	0.04554	0.17086
35418_0	0.03532	0.00989
35418_1	0.00922	0.01235
35418_2	0.00633	0.0091
35418_3	0.02028	0.00944
35418_4	0.11555	0.0106
33928_0	0.83038	0.01143
33928_1	0.82156	0.01325
33928_2	0.80639	0.01168
33928_3	0.7799	0.01019
33928_4	0.98628	0.01357
33928_5	0.99489	0.0
33082_0	0.06482	0.00728
33082_1	0.00055	0.0088
33082_10	0.00277	0.00859
33082_11	0.00302	0.00943
33082_12	0.00681	0.01085
33082_13	0.00816	0.00821
33082_2	0.00747	0.00914
33082_3	0.00675	0.00638
33082_4	0.00889	0.00804
33082_5	0.00275	0.00692
33082_6	0.00473	0.0091
33082_7	0.00439	0.00715
33082_8	0.0031	0.00761
33082_9	0.01186	0.00712
32561_0	0.00502	0.003
32561_1	0.00071	0.00362
32561_10	0.00056	0.00347
32561_11	0.00128	0.00245
32561_12	0.00391	0.00298
32561_13	0.16031	0.00258
32561_2	0.00341	0.00303
32561_3	0.00109	0.00338
32561_4	0.00166	0.00241
32561_5	0.00082	0.00333
32561_6	0.00064	0.00348
32561_7	0.00141	0.00217
32561_8	0.00164	0.0029
32561_9	0.00094	0.00468
37800_0	0.01798	0.00716
37800_1	0.00148	0.00625
37800_2	0.00051	0.00652
37800_3	0.10434	0.00407
36277_0	0.025	0.01504
36277_1	0.0014	0.01625
36277_2	0.0047	0.01756
36277_3	0.00135	0.01656
36277_4	0.00399	0.01471
33469_0	0.99787	0.01223
33469_1	0.0184	0.01491
33469_10	0.01764	0.01701
33469_2	0.01114	0.01909
33469_3	0.01199	0.01706
33469_4	0.0486	0.02944
33469_5	0.0413	0.01809
33469_6	0.02295	0.01758
33469_7	0.01095	0.01454
33469_8	0.02124	0.02068
33469_9	0.01625	0.01592
35805_0	0.00377	0.00813
35805_1	0.00159	0.00904
35805_2	0.00184	0.00899
35805_3	0.00118	0.0098
35805_4	0.00228	0.00853
35805_5	0.00609	0.0072
51951_0	0.0052	0.01486
51951_1	0.00363	0.01507
51951_2	0.0007	0.01345
51951_3	0.0	0.01359
51951_4	0.00146	0.01177
51951_5	0.00328	0.00986
47896_0	0.01657	0.00755
47896_1	0.00331	0.00503
47896_2	0.00085	0.00738
47896_3	0.00884	0.00485
35557_0	0.0979	0.00522
35557_1	0.07518	0.00237
39782_0	0.04194	0.01323
39782_1	0.02577	0.01508
15042_0	0.04057	0.1336
fieldinz.01_0	0.27567	0.17464
fieldinz.01_1	0.02623	0.17224
fieldinz.01_10	0.02037	0.17505
fieldinz.01_2	0.0232	0.16702
fieldinz.01_3	0.01685	0.16735
fieldinz.01_4	0.02756	0.17216
fieldinz.01_5	0.08386	0.17461
fieldinz.01_6	0.0233	0.17614
fieldinz.01_7	0.02781	0.16997
fieldinz.01_8	0.0188	0.17646
fieldinz.01_9	0.01897	0.17306
33537_0	0.02825	0.00994
33537_1	0.012	0.00883
33537_2	0.00837	0.00763
33537_3	0.01204	0.0083
33537_4	0.01313	0.01131
33537_5	0.01035	0.00971
33537_6	0.01117	0.00883
33537_7	0.01053	0.0105
33537_8	0.09537	0.01163
6593_0	0.39012	0.14594
6593_1	0.02195	0.1721
6593_10	0.07505	0.18438
6593_11	0.06911	0.16644
6593_12	0.06513	0.17418
6593_13	0.03826	0.17231
6593_14	0.02851	0.16991
6593_15	0.01602	0.16923
6593_16	0.02097	0.17075
6593_17	0.02488	0.16482
6593_18	0.03389	0.17381
6593_19	0.02947	0.15944
6593_2	0.02126	0.17293
6593_20	0.02179	0.15545
6593_21	0.02891	0.15166
6593_22	0.02297	0.15005
6593_23	0.04051	0.15145
6593_24	0.04868	0.16386
6593_25	0.04154	0.16489
6593_26	0.04494	0.173
6593_27	0.03901	0.16258
6593_3	0.05545	0.1704
6593_4	0.03875	0.16389
6593_5	0.04147	0.1716
6593_6	0.04091	0.17165
6593_7	0.06338	0.19639
6593_8	0.04704	0.18223
6593_9	0.05184	0.17311
47315_0	0.05906	0.0054
47315_1	0.00654	0.00685
47315_2	0.00871	0.00575
47315_3	0.03444	0.00738
41764_0	0.02472	0.00891
41764_1	0.00631	0.00929
41764_2	0.00245	0.0081
41764_3	0.209	0.00638
48998_0	0.03229	0.00877
48998_1	0.00558	0.00911
49648_0	0.09854	0.02104
49648_1	0.00395	0.02145
49648_10	0.00411	0.01821
49648_11	0.00055	0.01935
49648_12	0.0032	0.01915
49648_13	0.07771	0.0175
49648_2	0.00303	0.02093
49648_3	0.00213	0.01885
49648_4	0.00139	0.01882
49648_5	0.00561	0.01907
49648_6	0.00286	0.02136
49648_7	0.00718	0.01613
49648_8	0.00304	0.01996
49648_9	0.00459	0.01659
50418_0	0.08441	0.00865
50418_1	0.02687	0.01271
50418_2	0.03955	0.01049
50418_3	0.02326	0.0112
41273_0	0.05889	0.01173
41273_1	0.0432	0.01133
36414_0	0.02897	0.02359
36414_1	0.00146	0.02275
36414_2	0.00086	0.02029
36414_3	0.0012	0.01669
36414_4	0.00197	0.01442
36414_5	0.00368	0.0213
36414_6	0.00147	0.01473
36414_7	0.23606	0.01717
31804_0	0.0188	0.01078
31804_1	0.00191	0.01311
31804_2	0.00244	0.01366
31804_3	0.00328	0.01458
31804_4	0.00222	0.01412
31804_5	0.00084	0.01385
31804_6	0.00073	0.0135
31804_7	0.00185	0.01364
31804_8	0.18178	0.01176
LennCFQ2fic_0	0.03807	0.05189
LennCFQ2fic_1	0.02822	0.04601
LennCFQ2fic_2	0.0329	0.0501
LennCFQ2fic_3	0.03288	0.04857
LennCFQ2fic_4	0.03355	0.05395
LennCFQ2fic_5	0.03749	0.05605
652_0	0.05469	0.03231
652_1	0.00519	0.0327
652_2	0.00326	0.03213
48108_0	0.03863	0.01968
48108_1	0.00623	0.0273
48108_2	0.01231	0.03264
48108_3	0.00742	0.02497
48108_4	0.00302	0.02453
48108_5	0.00608	0.03394
30312_0	0.00499	0.01536
30312_1	0.0	0.01313
30312_10	0.00268	0.00955
30312_11	0.00143	0.01545
30312_12	0.00382	0.01322
30312_13	0.0033	0.01204
30312_14	0.00307	0.01349
30312_15	0.0037	0.01562
30312_16	0.00134	0.01416
30312_17	0.00313	0.01113
30312_18	0.0037	0.0089
30312_19	0.0	0.01089
30312_2	0.0009	0.01487
30312_20	0.00131	0.00964
30312_21	0.00204	0.00936
30312_22	0.00159	0.00763
30312_23	0.00543	0.00945
30312_24	0.00321	0.0113
30312_25	0.00084	0.00951
30312_26	0.00344	0.01049
30312_27	0.00058	0.0099
30312_28	0.00271	0.00896
30312_29	0.0026	0.00651
30312_3	0.00069	0.01357
30312_30	0.00364	0.00787
30312_31	0.08111	0.00731
30312_4	0.00288	0.0166
30312_5	0.00127	0.01409
30312_6	0.00067	0.01438
30312_7	0.00112	0.0114
30312_8	0.00332	0.01603
30312_9	0.00443	0.01166
58723_0	0.22169	0.01069
58723_1	0.00742	0.00794
58723_2	0.00307	0.00897
58723_3	0.01446	0.00739
3841_0	0.26196	0.02693
3841_1	0.00976	0.0257
3841_2	0.02275	0.02664
3841_3	0.44262	0.02701
31542_0	0.02443	0.00824
31542_1	0.00832	0.01107
39056_0	0.01331	0.00785
39056_1	0.00886	0.00586
39056_2	0.00691	0.00873
39056_3	0.0028	0.00845
39056_4	0.21807	0.00881
49957_0	0.01764	0.00512
49957_1	0.14653	0.00507
27724_0	0.09538	0.01189
27724_1	0.02675	0.01294
27724_2	0.03989	0.01548
27724_3	0.03719	0.01024
27724_4	0.03068	0.01165
35335_0	0.02335	0.00713
35335_1	0.00241	0.00816
35335_2	0.00312	0.00678
35335_3	0.0011	0.01056
35335_4	0.00619	0.00757
37907_0	0.05509	0.01659
37907_1	0.00608	0.01485
37907_2	0.00543	0.01677
37907_3	0.00473	0.01682
37907_4	0.0724	0.01405
57605_0	0.03973	0.0084
57605_1	0.03265	0.00788
57605_2	0.02553	0.00862
57605_3	0.01508	0.00748
57605_4	0.00878	0.00903
51738_0	0.00911	0.0078
51738_1	0.00341	0.00978
51738_2	0.00247	0.00958
51738_3	0.00416	0.0102
51738_4	0.00289	0.01016
51738_5	0.27661	0.01226
33345_0	0.10682	0.01313
33345_1	0.0119	0.01612
33345_2	0.00912	0.01626
33345_3	0.00971	0.02035
33345_4	0.01349	0.01618
33345_5	0.01367	0.01646
33345_6	0.01519	0.01554
33345_7	0.40784	0.01982
51932_0	0.05821	0.00736
51932_1	0.01767	0.01271
51932_2	0.02002	0.01167
51932_3	0.01224	0.01204
51932_4	0.01889	0.01068
51932_5	0.01448	0.00761
51932_6	0.01731	0.00829
51932_7	0.01583	0.00885
51932_8	0.00901	0.00752
51932_9	0.01401	0.01181
39130_0	0.0715	0.01383
39130_1	0.04236	0.01282
4084_0	0.07238	0.16466
4084_1	0.01617	0.1718
4084_10	0.00963	0.16117
4084_11	0.13215	0.16647
4084_12	0.0042	0.04726
4084_13	0.00475	0.04305
4084_14	0.00236	0.04345
4084_15	0.00222	0.03752
4084_16	0.00214	0.04111
4084_17	0.01996	0.06383
4084_18	0.01142	0.17187
4084_19	0.00875	0.17448
4084_2	0.01683	0.1722
4084_20	0.01105	0.17702
4084_21	0.00729	0.15854
4084_22	0.00893	0.16369
4084_23	0.01349	0.16846
4084_3	0.01604	0.17675
4084_4	0.01593	0.16692
4084_5	0.03752	0.16469
4084_6	0.01308	0.16001
4084_7	0.01336	0.16698
4084_8	0.00865	0.16809
4084_9	0.00653	0.17128
36160_0	0.02795	0.02541
36160_1	0.00123	0.02778
36160_2	0.00324	0.02319
36160_3	0.26548	0.02789
31579_0	0.99956	0.0
31579_1	0.99833	0.0
31579_2	0.99947	0.0
31579_3	0.99914	0.0
31579_4	1.0	0.0
31579_5	0.39952	0.00612
31579_6	0.35506	0.00548
31579_7	0.01681	0.0078
31579_8	0.01451	0.00479
3891_0	0.77867	0.02146
3891_1	0.29389	0.0194
3891_10	0.20217	0.01598
3891_11	0.29512	0.01725
3891_12	0.37643	0.01697
3891_13	0.31618	0.01478
3891_14	0.49807	0.01945
3891_15	0.6785	0.01963
3891_16	0.98557	0.01255
3891_17	0.80836	0.02206
3891_2	0.33307	0.01736
3891_3	0.41739	0.01649
3891_4	0.41956	0.01391
3891_5	0.40507	0.01819
3891_6	0.86247	0.01252
3891_7	0.59054	0.0132
3891_8	0.64129	0.02008
3891_9	0.56309	0.015
42756_0	0.02152	0.01223
42756_1	0.00211	0.00914
42756_2	0.01126	0.01612
